Dagsetning,Land,Fjöldi verndarveitinga(bæði hæli og tímabundin vernd),Fjöldi hælisveitinga,Fjöldi umsókna um hæli
2008-01-01,Austurríki,3425,3425,12610
2009-01-01,Austurríki,3200,3200,15695
2010-01-01,Austurríki,3430,3430,10980
2011-01-01,Austurríki,4070,4070,14390
2012-01-01,Austurríki,4450,4450,17370
2013-01-01,Austurríki,4915,4915,17460
2014-01-01,Austurríki,7160,7160,27610
2015-01-01,Austurríki,15010,15010,87675
2016-01-01,Austurríki,30325,30325,41910
2017-01-01,Austurríki,25175,25175,24245
2018-01-01,Austurríki,14965,14965,13485
2019-01-01,Austurríki,7360,7360,12665
2020-01-01,Austurríki,6810,6810,14680
2021-01-01,Austurríki,12080,12080,39840
2022-01-01,Austurríki,107160,16520,111650
2023-01-01,Austurríki,41445,23120,59105
2008-01-01,Belgía,3505,3505,15875
2009-01-01,Belgía,2910,2910,22920
2010-01-01,Belgía,3510,3510,26495
2011-01-01,Belgía,5075,5075,32195
2012-01-01,Belgía,5545,5545,28215
2013-01-01,Belgía,6270,6270,21160
2014-01-01,Belgía,8050,8050,22280
2015-01-01,Belgía,10360,10360,44325
2016-01-01,Belgía,14990,14990,18140
2017-01-01,Belgía,12545,12545,18215
2018-01-01,Belgía,9645,9645,22435
2019-01-01,Belgía,6490,6490,27345
2020-01-01,Belgía,5690,5690,16650
2021-01-01,Belgía,9135,9135,24915
2022-01-01,Belgía,74270,10915,36045
2023-01-01,Belgía,28080,12455,35105
2008-01-01,Búlgaría,295,295,745
2009-01-01,Búlgaría,270,270,845
2010-01-01,Búlgaría,140,140,1020
2011-01-01,Búlgaría,190,190,890
2012-01-01,Búlgaría,170,170,1375
2013-01-01,Búlgaría,2460,2460,7145
2014-01-01,Búlgaría,7000,7000,11040
2015-01-01,Búlgaría,5595,5595,20325
2016-01-01,Búlgaría,1350,1350,19395
2017-01-01,Búlgaría,1695,1695,3680
2018-01-01,Búlgaría,740,740,2525
2019-01-01,Búlgaría,400,400,2145
2020-01-01,Búlgaría,820,820,3520
2021-01-01,Búlgaría,2015,2015,10990
2022-01-01,Búlgaría,151210,3870,19095
2023-01-01,Búlgaría,29370,5785,22495
2008-01-01,Danmörk,730,730,2370
2009-01-01,Danmörk,790,790,3770
2010-01-01,Danmörk,1345,1345,5095
2011-01-01,Danmörk,1315,1315,3965
2012-01-01,Danmörk,1700,1700,6060
2013-01-01,Danmörk,2805,2805,7190
2014-01-01,Danmörk,5480,5480,14580
2015-01-01,Danmörk,9995,9995,20875
2016-01-01,Danmörk,7125,7125,6100
2017-01-01,Danmörk,2365,2365,3190
2018-01-01,Danmörk,1315,1315,3550
2019-01-01,Danmörk,1575,1575,2705
2020-01-01,Danmörk,420,420,1470
2021-01-01,Danmörk,775,775,2075
2022-01-01,Danmörk,33420,515,2525
2023-01-01,Danmörk,9370,990,2375
2008-01-01,Eistland,5,5,15
2009-01-01,Eistland,5,5,40
2010-01-01,Eistland,15,15,35
2011-01-01,Eistland,10,10,65
2012-01-01,Eistland,10,10,75
2013-01-01,Eistland,10,10,95
2014-01-01,Eistland,20,20,95
2015-01-01,Eistland,20,20,135
2016-01-01,Eistland,110,110,165
2017-01-01,Eistland,85,85,180
2018-01-01,Eistland,20,20,75
2019-01-01,Eistland,40,40,100
2020-01-01,Eistland,25,25,50
2021-01-01,Eistland,50,50,75
2022-01-01,Eistland,41930,60,335
2023-01-01,Eistland,8850,70,210
2008-01-01,Finnland,655,655,3760
2009-01-01,Finnland,960,960,5695
2010-01-01,Finnland,1595,1595,3665
2011-01-01,Finnland,1065,1065,2965
2012-01-01,Finnland,1555,1555,3100
2013-01-01,Finnland,1650,1650,3215
2014-01-01,Finnland,1265,1265,3325
2015-01-01,Finnland,1675,1675,32270
2016-01-01,Finnland,7070,7070,5560
2017-01-01,Finnland,3430,3430,4975
2018-01-01,Finnland,2405,2405,4470
2019-01-01,Finnland,1660,1660,4515
2020-01-01,Finnland,1155,1155,3160
2021-01-01,Finnland,1060,1060,2525
2022-01-01,Finnland,46495,1230,4005
2023-01-01,Finnland,20215,1275,5345
2008-01-01,Frakkland,5150,5150,41770
2009-01-01,Frakkland,5045,5045,47550
2010-01-01,Frakkland,5085,5085,52635
2011-01-01,Frakkland,4615,4615,57235
2012-01-01,Frakkland,8640,8640,61310
2013-01-01,Frakkland,10685,10685,66130
2014-01-01,Frakkland,14785,14785,62885
2015-01-01,Frakkland,20210,20210,74520
2016-01-01,Frakkland,28410,28410,83610
2017-01-01,Frakkland,32310,32310,98645
2018-01-01,Frakkland,32550,32550,136825
2019-01-01,Frakkland,28000,28000,149815
2020-01-01,Frakkland,19050,19050,91015
2021-01-01,Frakkland,33755,33755,118355
2022-01-01,Frakkland,119910,35000,154280
2023-01-01,Frakkland,56745,39570,163380
2008-01-01,Grikkland,55,55,19830
2009-01-01,Grikkland,165,165,15875
2010-01-01,Grikkland,105,105,10225
2011-01-01,Grikkland,180,180,9280
2012-01-01,Grikkland,95,95,9530
2013-01-01,Grikkland,500,500,8205
2014-01-01,Grikkland,1965,1965,9325
2015-01-01,Grikkland,3985,3985,12980
2016-01-01,Grikkland,2690,2690,50990
2017-01-01,Grikkland,10440,10440,58575
2018-01-01,Grikkland,15200,15200,66880
2019-01-01,Grikkland,17345,17345,77165
2020-01-01,Grikkland,34320,34320,40525
2021-01-01,Grikkland,16565,16565,28255
2022-01-01,Grikkland,40695,19165,37220
2023-01-01,Grikkland,30125,24800,64085
2008-01-01,Holland,5675,5675,15230
2009-01-01,Holland,8245,8245,16115
2010-01-01,Holland,8000,8000,15070
2011-01-01,Holland,6830,6830,14540
2012-01-01,Holland,5505,5505,13065
2013-01-01,Holland,5970,5970,13025
2014-01-01,Holland,12545,12545,24230
2015-01-01,Holland,16445,16445,44210
2016-01-01,Holland,20805,20805,20605
2017-01-01,Holland,7805,7805,18030
2018-01-01,Holland,3620,3620,23695
2019-01-01,Holland,4845,4845,25100
2020-01-01,Holland,8615,8615,15270
2021-01-01,Holland,12050,12050,26475
2022-01-01,Holland,125350,15175,35985
2023-01-01,Holland,49280,14480,39155
2008-01-01,Króatía,NA,NA,NA
2009-01-01,Króatía,NA,NA,NA
2010-01-01,Króatía,NA,NA,NA
2011-01-01,Króatía,NA,NA,NA
2012-01-01,Króatía,20,20,NA
2013-01-01,Króatía,25,25,1080
2014-01-01,Króatía,25,25,440
2015-01-01,Króatía,40,40,200
2016-01-01,Króatía,100,100,2220
2017-01-01,Króatía,150,150,975
2018-01-01,Króatía,135,135,795
2019-01-01,Króatía,55,55,1395
2020-01-01,Króatía,40,40,1605
2021-01-01,Króatía,70,70,2550
2022-01-01,Króatía,19295,20,2730
2023-01-01,Króatía,4970,45,1750
2008-01-01,Lettland,5,5,55
2009-01-01,Lettland,10,10,60
2010-01-01,Lettland,25,25,65
2011-01-01,Lettland,20,20,335
2012-01-01,Lettland,25,25,205
2013-01-01,Lettland,25,25,195
2014-01-01,Lettland,25,25,300
2015-01-01,Lettland,20,20,285
2016-01-01,Lettland,135,135,340
2017-01-01,Lettland,265,265,350
2018-01-01,Lettland,30,30,180
2019-01-01,Lettland,35,35,185
2020-01-01,Lettland,25,25,180
2021-01-01,Lettland,90,90,605
2022-01-01,Lettland,38365,230,600
2023-01-01,Lettland,12240,115,1690
2008-01-01,Liechtenstein,0,0,25
2009-01-01,Liechtenstein,0,0,280
2010-01-01,Liechtenstein,0,0,110
2011-01-01,Liechtenstein,15,15,75
2012-01-01,Liechtenstein,20,20,65
2013-01-01,Liechtenstein,5,5,95
2014-01-01,Liechtenstein,0,0,70
2015-01-01,Liechtenstein,5,5,135
2016-01-01,Liechtenstein,40,40,75
2017-01-01,Liechtenstein,20,20,140
2018-01-01,Liechtenstein,10,10,155
2019-01-01,Liechtenstein,15,15,45
2020-01-01,Liechtenstein,10,10,35
2021-01-01,Liechtenstein,5,5,85
