ar,laun,pop_65,pop,cpi,laun_per_pers,laun_per_pers_65
2007,47138399789.40088,35633,307672,0.5102395380084177,153209.91116969005,1322886.0828277406
2005,43141249600.49141,34591,293577,0.45525568813788564,146950.37281698297,1247181.3361999192
2011,38339099482.44576,39173,318452,0.7058362919658668,120392.08258213408,978712.3652119001
2014,44224417298.1288,43042,325671,0.7869495386312877,135794.7661846735,1027471.2443224943
2006,44805743000.251945,35039,299891,0.48563617273075116,149406.76112404824,1278739.2048931746
2010,37566564251.218376,38069,317630,0.6786480161590277,118271.46129527556,986801.9714523201
2019,64508790170.11916,50740,356992,0.8755527971312389,180700.9405536235,1271359.6801363651
2018,63484003972.69089,48983,348450,0.8499061245917977,182189.7086316283,1296041.5648835492
2013,41328054483.71134,41677,321857,0.7711753557032648,128405.01988060331,991627.3840178358
2004,42325791631.64356,34151,290570,0.4377063256898286,145664.69914871998,1239371.954895715
2020,68409911490.50492,52473,364134,0.9004520256622444,187870.15629000566,1303716.415880642
2008,45404062894.548,36409,315459,0.5749245882384347,143930.15540703546,1247056.0272061303
2015,48432030263.72325,44541,329100,0.7998118042764475,147165.08740116455,1087358.3948210245
2021,69756009374.4362,54359,368792,0.9404714236138919,189147.2954251616,1283246.736960507
2016,53665709392.33066,46073,332529,0.8133903704296913,161386.553931629,1164797.3735665283
2012,38822325429.02542,40322,319575,0.7424454766290276,121481.10906367964,962807.5350683355
2017,58590738442.73948,47441,338349,0.8277163805913706,173166.57783158656,1235023.2592639169
2009,41464212184.037735,37173,319368,0.6439541567674827,129832.08143595394,1115438.9525741192
