ar,tekjur,rikisframlag,gjold,launatengdgjold,vorunotkun,keyptogleiga,afkoma,eignir,eigidfe,skuldir,skammtimaskuldir,veltufe,handbaertfe
2021,96553789,86245504,93887074,65528803,18053703,6862304,2675388,25685399,-2190979,27876379,15770884,2041852,12735
2020,83721570,75542941,84141924,61524156,12895077,6444082,-449764,20981944,-4762014,25743958,13989200,-626190,6501
2019,75417165,65306667,77826334,57605478,12895077,11079937,-2380836,18346967,-4312250,22659217,13386121,-2352682,15017
2018,70889791,65547185,72352137,53862735,10026527,5848772,-1426221,18587673,-1937100,20524774,12177599,-1402897,11173
2017,65384372,56886060,65367122,48414967,9173816,5431141,62173,16437224,-724648,17161872,11278549,65837,17262
2016,60897390,52625839,61058789,43552358,9308086,4176446,-85029,3710069,111875,3598194,3598194,94850,24350
2015,54702725,48071200,54694876,38644821,8346929,3707539,55660,2402584,-2722127,5124711,5124711,133959,90421
2014,48429668,43553920,49204341,34719707,7495212,3522891,-749343,2189322,-2777788,4967110,4929568,-658783,21929
2013,43809136,39193900,45324314,31857791,7230279,3236607,-1484045,2304684,-4251645,6556329,6515541,-1298355,22350
2012,40706741,36478200,40718561,28810329,6893772,2941754,16406,2327600,-2767600,5095200,5095200,16406,23959
2011,38175487,34539100,38189693,27061128,6107986,2919569,4767,1682918,-2784010,4466926,4466928,4768,16953
2010,36536529,33145000,36487062,25494474,5894236,2882143,70809,1707913,-2709145,4417059,4417059,70809,18981
2009,37484164,33890400,38727187,26701052,6541201,3454606,-1338440,2297190,-2779954,5077144,5077144,-1338440,15948
2008,39350029,36399100,40301097,26103912,8898863,3323177,-1185825,1781520,-1441514,3223034,3223034,-1185825,46404
2007,36171625,33304717,35686104,24051875,7089236,2864131,340812,1657964,-255689,1913653,1913653,340812,21990
2006,31910548,29583107,32163513,21759289,6395567,2787594,-290149,1378020,-596501,1974521,1974521,-290149,13038
2005,29575289,27390674,29042272,19640299,5803196,2386906,545563,1231705,-306352,1538057,1538057,545563,22018
2004,27585768,25511833,27767369,18526267,5977369,2272347,-289128,1155483,-851915,2007398,2007398,-289128,161501
2003,27680079,25594115,27491767,18075685,5867115,2407187,80855,1102728,-565187,1667915,1667915,80855,111939
