ar,flokkur,framlog_rikis,framlog_althingi,framlog_svf,framlog_fyrirtaekja,framlog_einstaklinga,tekjur_sala_eigna,adrar_tekjur,leigutekjur,auglysingar_og_thjonusta,tekjur,gjold,afkoma,eignir,fasteignir,veltufjarmunir,skuldir,skammtimaskuldir,veltufe_fra_rekstri,handbaert_fe,cpi,merki,litur,atkvaedi,hlutf,thingmenn
2022,Sjálfstæðisflokkur,166941343,23356333,23932531,46270000,48565179,234107784,107967307,49739975,58228232,651140477,540001440,65209648,1776650578,1188612446,509035851,497664027,94749678,156397219,286696908,0.8724304715840386,xD,#377eb8,NA,NA,NA
2021,Sjálfstæðisflokkur,178475322,22383434,21092098,32160155,47928455,0,406183012,55162339,10685079,708222476,450222352,227182716,1711518207,1201916128,427861150,465597491,35839794,71526378,209986470,0.8054804751404794,xD,#377eb8,48708,0.24386922345165973,16
2020,Sjálfstæðisflokkur,173975862,21485544,20209361,16740000,36353170,0,59632243,52612106,7020137,328396180,216960497,85014234,924881255,646663741,210181106,448660042,26560879,101707698,195158072,0.7712052777580197,xD,#377eb8,NA,NA,NA
2019,Sjálfstæðisflokkur,178022885,21877480,17414604,13687105,35766026,0,77435990,58195727,19240263,344204090,251339171,67026974,847508321,673772290,125009807,451819079,28385674,106155764,106330683,0.749879970125898,xD,#377eb8,NA,NA,NA
2018,Sjálfstæðisflokkur,166023424,14726508,21061152,22351000,49023657,0,94371265,57794208,36577057,367557006,373651421,-35251208,769372541,0,77005778,430905068,0,0,0,0.7279145031652322,xD,#377eb8,NA,NA,NA
2017,Sjálfstæðisflokkur,87801052,13910890,17836623,15280000,44337533,0,68924208,55798925,12131019,248090306,239582399,-15122355,783176498,0,99356353,421809184,0,0,0,0.7089097730990824,xD,#377eb8,49548,0.25246230746105913,16
2016,Sjálfstæðisflokkur,83948996,12827714,17769503,19190000,41349181,0,63998179,49884806,14113373,239083573,214252239,6167068,809584337,0,127737777,433832076,0,0,0,0.6966400526353226,xD,#377eb8,54992,0.28996878427402345,21
2015,Sjálfstæðisflokkur,93763810,0,17593637,19254999,29758593,0,69625801,46428015,23197786,229996840,200002451,-7699527,792139029,0,122489674,440091835,0,0,0,0.6850104915001066,xD,#377eb8,NA,NA,NA
2014,Sjálfstæðisflokkur,87421023,0,19727302,28881462,39603403,0,78900290,46903938,28790352,254533480,267888435,-36734122,766509292,0,98754787,408871614,0,0,0,0.6739944163880789,xD,#377eb8,NA,NA,NA
2013,Sjálfstæðisflokkur,84835690,0,19028446,24263256,33014970,0,83546217,43562302,29142153,244688579,343276668,-126917546,803663876,0,139556381,386424897,0,0,0,0.6604843872252649,xD,#377eb8,50466,0.26698338297455865,19
2012,Sjálfstæðisflokkur,87356937,0,18788068,17191706,31657610,0,61268216,42458440,12318648,216262537,210177958,-7719713,794215194,0,123317254,251683951,0,0,0,0.6358782630343552,xD,#377eb8,NA,NA,NA
2011,Sjálfstæðisflokkur,90027578,0,19892790,16103756,27553072,0,60674143,0,0,214251339,207681719,-8071419,795048245,0,117621659,237950313,0,0,0,0.6045237925883775,xD,#377eb8,NA,NA,NA
2010,Sjálfstæðisflokkur,98873027,0,24188582,24315101,38280163,0,65027062,0,0,250683935,353679901,-110530270,682307535,0,86637746,216527274,0,0,0,0.5812379970125898,xD,#377eb8,NA,NA,NA
2009,Sjálfstæðisflokkur,158717700,0,24900607,23983964,34839393,0,63391569,0,0,305833233,357742304,-45997447,704434693,0,124412221,77740165,0,0,0,0.5515239348460061,xD,#377eb8,44371,0.2370460992718356,16
2008,Sjálfstæðisflokkur,157201492,0,25606075,8640000,31676150,0,40532668,0,0,263656385,216365029,62519371,705347418,0,116346067,42572286,0,0,0,0.4924025535244328,xD,#377eb8,NA,NA,NA
2007,Sjálfstæðisflokkur,140101471,0,24845537,56911640,47016031,0,48583524,0,0,317458203,351517142,-37312625,461993053,0,51823446,75616181,0,0,0,0.43700209830002135,xD,#377eb8,66754,0.36643995410854757,25
2022,Framsóknarflokkur,121749000,18166260,10223005,24820000,17373338,0,21836325,13812943,8023382,214167928,202493578,-3043652,176144658,125621562,41719219,203968802,78228938,20529864,21988759,0.8724304715840386,xB,#41ab5d,NA,NA,NA
2021,Framsóknarflokkur,85205807,13300301,4330319,19885000,17192303,0,15343281,10435764,1800533,155257011,174923149,-27566241,212566260,126149495,77836839,238810941,105263907,-29991014,34220572,0.8054804751404794,xB,#41ab5d,34501,0.17273819656536324,13
