dags,kyn,rekstrarform,starfandi,bakgrunnur,tegund
2008-01-01,Alls,Alls starfandi,174121,Alls,Annad
2008-01-01,Alls,Alls starfandi,152576,Íslenskur bakgrunnur,Annad
2008-01-01,Alls,Alls starfandi,21545,Innflytjendur,Annad
2008-01-01,Karlar,Alls starfandi,93143,Alls,Annad
2008-01-01,Karlar,Alls starfandi,79877,Íslenskur bakgrunnur,Annad
2008-01-01,Karlar,Alls starfandi,13266,Innflytjendur,Annad
2008-01-01,Konur,Alls starfandi,80978,Alls,Annad
2008-01-01,Konur,Alls starfandi,72699,Íslenskur bakgrunnur,Annad
2008-01-01,Konur,Alls starfandi,8279,Innflytjendur,Annad
2008-02-01,Alls,Alls starfandi,176983,Alls,Annad
2008-02-01,Alls,Alls starfandi,153904,Íslenskur bakgrunnur,Annad
2008-02-01,Alls,Alls starfandi,23079,Innflytjendur,Annad
2008-02-01,Karlar,Alls starfandi,95016,Alls,Annad
2008-02-01,Karlar,Alls starfandi,80652,Íslenskur bakgrunnur,Annad
2008-02-01,Karlar,Alls starfandi,14364,Innflytjendur,Annad
2008-02-01,Konur,Alls starfandi,81966,Alls,Annad
2008-02-01,Konur,Alls starfandi,73251,Íslenskur bakgrunnur,Annad
2008-02-01,Konur,Alls starfandi,8715,Innflytjendur,Annad
2008-03-01,Alls,Alls starfandi,178150,Alls,Annad
2008-03-01,Alls,Alls starfandi,154709,Íslenskur bakgrunnur,Annad
2008-03-01,Alls,Alls starfandi,23441,Innflytjendur,Annad
2008-03-01,Karlar,Alls starfandi,95730,Alls,Annad
2008-03-01,Karlar,Alls starfandi,81227,Íslenskur bakgrunnur,Annad
2008-03-01,Karlar,Alls starfandi,14503,Innflytjendur,Annad
2008-03-01,Konur,Alls starfandi,82419,Alls,Annad
2008-03-01,Konur,Alls starfandi,73481,Íslenskur bakgrunnur,Annad
2008-03-01,Konur,Alls starfandi,8938,Innflytjendur,Annad
2008-04-01,Alls,Alls starfandi,177850,Alls,Annad
2008-04-01,Alls,Alls starfandi,154292,Íslenskur bakgrunnur,Annad
2008-04-01,Alls,Alls starfandi,23558,Innflytjendur,Annad
2008-04-01,Karlar,Alls starfandi,95352,Alls,Annad
2008-04-01,Karlar,Alls starfandi,80809,Íslenskur bakgrunnur,Annad
2008-04-01,Karlar,Alls starfandi,14543,Innflytjendur,Annad
2008-04-01,Konur,Alls starfandi,82497,Alls,Annad
2008-04-01,Konur,Alls starfandi,73482,Íslenskur bakgrunnur,Annad
2008-04-01,Konur,Alls starfandi,9015,Innflytjendur,Annad
2008-05-01,Alls,Alls starfandi,183741,Alls,Annad
2008-05-01,Alls,Alls starfandi,159704,Íslenskur bakgrunnur,Annad
2008-05-01,Alls,Alls starfandi,24037,Innflytjendur,Annad
2008-05-01,Karlar,Alls starfandi,98335,Alls,Annad
2008-05-01,Karlar,Alls starfandi,83612,Íslenskur bakgrunnur,Annad
2008-05-01,Karlar,Alls starfandi,14723,Innflytjendur,Annad
2008-05-01,Konur,Alls starfandi,85405,Alls,Annad
2008-05-01,Konur,Alls starfandi,76091,Íslenskur bakgrunnur,Annad
2008-05-01,Konur,Alls starfandi,9314,Innflytjendur,Annad
2008-06-01,Alls,Alls starfandi,191441,Alls,Annad
2008-06-01,Alls,Alls starfandi,167556,Íslenskur bakgrunnur,Annad
2008-06-01,Alls,Alls starfandi,23885,Innflytjendur,Annad
2008-06-01,Karlar,Alls starfandi,102306,Alls,Annad
2008-06-01,Karlar,Alls starfandi,87938,Íslenskur bakgrunnur,Annad
2008-06-01,Karlar,Alls starfandi,14368,Innflytjendur,Annad
2008-06-01,Konur,Alls starfandi,89134,Alls,Annad
2008-06-01,Konur,Alls starfandi,79617,Íslenskur bakgrunnur,Annad
2008-06-01,Konur,Alls starfandi,9517,Innflytjendur,Annad
2008-07-01,Alls,Alls starfandi,191496,Alls,Annad
2008-07-01,Alls,Alls starfandi,168311,Íslenskur bakgrunnur,Annad
2008-07-01,Alls,Alls starfandi,23185,Innflytjendur,Annad
2008-07-01,Karlar,Alls starfandi,102156,Alls,Annad
2008-07-01,Karlar,Alls starfandi,88472,Íslenskur bakgrunnur,Annad
2008-07-01,Karlar,Alls starfandi,13684,Innflytjendur,Annad
2008-07-01,Konur,Alls starfandi,89339,Alls,Annad
2008-07-01,Konur,Alls starfandi,79838,Íslenskur bakgrunnur,Annad
2008-07-01,Konur,Alls starfandi,9501,Innflytjendur,Annad
2008-08-01,Alls,Alls starfandi,189013,Alls,Annad
2008-08-01,Alls,Alls starfandi,166122,Íslenskur bakgrunnur,Annad
2008-08-01,Alls,Alls starfandi,22891,Innflytjendur,Annad
2008-08-01,Karlar,Alls starfandi,100669,Alls,Annad
2008-08-01,Karlar,Alls starfandi,87285,Íslenskur bakgrunnur,Annad
2008-08-01,Karlar,Alls starfandi,13384,Innflytjendur,Annad
2008-08-01,Konur,Alls starfandi,88343,Alls,Annad
2008-08-01,Konur,Alls starfandi,78836,Íslenskur bakgrunnur,Annad
2008-08-01,Konur,Alls starfandi,9507,Innflytjendur,Annad
2008-09-01,Alls,Alls starfandi,180125,Alls,Annad
2008-09-01,Alls,Alls starfandi,157359,Íslenskur bakgrunnur,Annad
2008-09-01,Alls,Alls starfandi,22766,Innflytjendur,Annad
2008-09-01,Karlar,Alls starfandi,95357,Alls,Annad
2008-09-01,Karlar,Alls starfandi,82008,Íslenskur bakgrunnur,Annad
2008-09-01,Karlar,Alls starfandi,13349,Innflytjendur,Annad
