land,dags,samtals,innanlands,erlendis,perc_innfl
Belgía,2011-01-01,11000638,9371274,1628793,0.1480635032259038
Belgía,2012-01-01,11075889,9396045,1677737,0.1514765090188246
Belgía,2013-01-01,11137974,9413555,1722265,0.15463000721675235
Belgía,2014-01-01,11180840,9430006,1748748,0.15640577988773652
Belgía,2015-01-01,11237274,9451194,1783488,0.15871180145647423
Belgía,2016-01-01,11311117,9461830,1845631,0.1631696498232668
Belgía,2017-01-01,11351727,9470917,1876726,0.16532515272786247
Belgía,2018-01-01,11398589,9478126,1916272,0.16811484298626786
Belgía,2019-01-01,11455519,9482503,1968060,0.1718001602546336
Belgía,2020-01-01,11522440,9490287,2027763,0.17598381939936333
Belgía,2021-01-01,11554767,9484082,2065727,0.17877703635218262
Belgía,2022-01-01,11617623,9491911,2119691,0.1824547930329638
Belgía,2023-01-01,11742796,9488511,2246910,0.19134369702070955
Búlgaría,2011-01-01,7369431,7290666,78621,0.01066853058261893
Búlgaría,2012-01-01,7327224,7241924,85076,0.01161094570058183
Búlgaría,2013-01-01,7202556,7107210,95180,0.01321475320705594
Búlgaría,2014-01-01,7117453,7009527,107275,0.0150721051477263
Búlgaría,2015-01-01,7029690,6908077,120635,0.01716078518398393
Búlgaría,2016-01-01,6938759,6805494,131924,0.019012621709444007
Búlgaría,2017-01-01,6849518,6708231,139655,0.02038902591394022
Búlgaría,2018-01-01,6757418,6606412,149096,0.02206404872393568
Búlgaría,2019-01-01,6664177,6499661,162346,0.024360997614559156
Búlgaría,2020-01-01,6569275,6390601,176321,0.026840252539283255
Búlgaría,2021-01-01,6532117,6341065,188519,0.028860322005867318
Búlgaría,2022-01-01,6482484,6338857,142214,0.021938195296741188
Búlgaría,2023-01-01,6447710,6277700,168595,0.026148043258769394
Tékkland,2011-01-01,10532770,10144799,387971,0.03683465982832626
Tékkland,2012-01-01,10505445,10114458,390843,0.037203850003498184
Tékkland,2013-01-01,10516125,10128663,387337,0.03683267363216013
Tékkland,2014-01-01,10512419,10116263,396156,0.03768457098218783
Tékkland,2015-01-01,10538275,10121821,416454,0.03951823234827332
Tékkland,2016-01-01,10553843,10120553,433290,0.04105518719579209
Tékkland,2017-01-01,10578820,10113764,465056,0.04396104669518907
Tékkland,2018-01-01,10610055,10142475,467580,0.04406951707601893
Tékkland,2019-01-01,10649800,10142749,507051,0.04761131664444403
Tékkland,2020-01-01,10693939,10160300,533639,0.049901070129537865
Tékkland,2021-01-01,10494836,10085616,409220,0.038992510221217365
Tékkland,2022-01-01,10516707,10063283,453424,0.04311463654925444
Tékkland,2023-01-01,10827529,10063358,764171,0.0705766754353648
Danmörk,2011-01-01,5560628,5042684,517230,0.09301647224018582
Danmörk,2012-01-01,5580516,5048302,531540,0.09524925652036478
Danmörk,2013-01-01,5602628,5053578,548411,0.09788459986991818
Danmörk,2014-01-01,5627235,5056810,569596,0.1012212925175508
Danmörk,2015-01-01,5659715,5062994,595876,0.10528374661975029
Danmörk,2016-01-01,5707251,5069632,636666,0.11155388119429126
Danmörk,2017-01-01,5748769,5079788,668090,0.11621444521427109
Danmörk,2018-01-01,5781190,5089851,690549,0.11944755318541685
