land,time,name,value,value_trend
Belgía,1999-01-01,foreign_country,20.2,18.799999999999997
Belgía,1999-01-01,reporting_country,7.6,7.8999999999999995
Belgía,1999-01-01,p,1.6578947368421053,1.3899229781771503
Belgía,1999-04-01,foreign_country,17.2,18.75
Belgía,1999-04-01,reporting_country,7.4,7.699999999999999
Belgía,1999-04-01,p,1.3243243243243241,1.4405162543801824
Belgía,1999-07-01,foreign_country,17.2,18.466666666666665
Belgía,1999-07-01,reporting_country,7.1,7.475
Belgía,1999-07-01,p,1.4225352112676055,1.4710002925415426
Belgía,1999-10-01,foreign_country,16.4,17.75
Belgía,1999-10-01,reporting_country,6.6,7.175
Belgía,1999-10-01,p,1.4848484848484849,1.4724006893206298
Belgía,2000-01-01,foreign_country,16.9,16.924999999999997
Belgía,2000-01-01,reporting_country,6.1,6.8
Belgía,2000-01-01,p,1.7704918032786883,1.5005499559297757
Belgía,2000-04-01,foreign_country,15.7,16.549999999999997
Belgía,2000-04-01,reporting_country,5.2,6.25
Belgía,2000-04-01,p,2.019230769230769,1.674276567156387
Belgía,2000-07-01,foreign_country,11.8,15.2
Belgía,2000-07-01,reporting_country,6.2,6.025
Belgía,2000-07-01,p,0.903225806451613,1.5444492159523888
Belgía,2000-10-01,foreign_country,14.4,14.7
Belgía,2000-10-01,reporting_country,5.8,5.825
Belgía,2000-10-01,p,1.4827586206896552,1.5439267499126814
Belgía,2001-01-01,foreign_country,12.4,13.575
Belgía,2001-01-01,reporting_country,5.4,5.65
Belgía,2001-01-01,p,1.2962962962962963,1.4253778731670834
Belgía,2001-04-01,foreign_country,14.4,13.25
Belgía,2001-04-01,reporting_country,5,5.6
Belgía,2001-04-01,p,1.88,1.390570180859391
Belgía,2001-07-01,foreign_country,12.3,13.375
Belgía,2001-07-01,reporting_country,5.4,5.4
Belgía,2001-07-01,p,1.2777777777777777,1.4842081736909323
Belgía,2001-10-01,foreign_country,15.7,13.7
Belgía,2001-10-01,reporting_country,6.2,5.5
Belgía,2001-10-01,p,1.532258064516129,1.4965830346475508
Belgía,2002-01-01,foreign_country,16.9,14.825
Belgía,2002-01-01,reporting_country,6.1,5.675
Belgía,2002-01-01,p,1.7704918032786883,1.6151319113931488
Belgía,2002-04-01,foreign_country,16.6,15.375
Belgía,2002-04-01,reporting_country,5.5,5.8
Belgía,2002-04-01,p,2.0181818181818185,1.6496773659386035
Belgía,2002-07-01,foreign_country,14.4,15.9
Belgía,2002-07-01,reporting_country,6.5,6.075
Belgía,2002-07-01,p,1.2153846153846155,1.634079075340313
Belgía,2002-10-01,foreign_country,18.6,16.625
Belgía,2002-10-01,reporting_country,6.4,6.125
Belgía,2002-10-01,p,1.90625,1.7275770592112805
Belgía,2003-01-01,foreign_country,16.9,16.625
Belgía,2003-01-01,reporting_country,6.8,6.3
Belgía,2003-01-01,p,1.4852941176470589,1.6562776378033732
