date,undirvisitala,lidur,value,flokkur_1,flokkur_2,flokkur_3
2002-08-01,011 Matur,"Vægi, %",0.13949999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2002-08-01,011 Matur,"Mánaðarbreyting, %",-0.0134,01 Matur og drykkjarvörur,011 Matur,Samtals
2002-08-01,011 Matur,"Áhrif á vísitölu, %",-0.0019,01 Matur og drykkjarvörur,011 Matur,Samtals
2002-09-01,011 Matur,"Vægi, %",0.1402,01 Matur og drykkjarvörur,011 Matur,Samtals
2002-09-01,011 Matur,"Mánaðarbreyting, %",0.0103,01 Matur og drykkjarvörur,011 Matur,Samtals
2002-09-01,011 Matur,"Áhrif á vísitölu, %",0.0014000000000000002,01 Matur og drykkjarvörur,011 Matur,Samtals
2002-10-01,011 Matur,"Vægi, %",0.1398,01 Matur og drykkjarvörur,011 Matur,Samtals
2002-10-01,011 Matur,"Mánaðarbreyting, %",0.0023,01 Matur og drykkjarvörur,011 Matur,Samtals
2002-10-01,011 Matur,"Áhrif á vísitölu, %",3e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2002-11-01,011 Matur,"Vægi, %",0.138,01 Matur og drykkjarvörur,011 Matur,Samtals
2002-11-01,011 Matur,"Mánaðarbreyting, %",-0.0147,01 Matur og drykkjarvörur,011 Matur,Samtals
2002-11-01,011 Matur,"Áhrif á vísitölu, %",-0.0021,01 Matur og drykkjarvörur,011 Matur,Samtals
2002-12-01,011 Matur,"Vægi, %",0.1361,01 Matur og drykkjarvörur,011 Matur,Samtals
2002-12-01,011 Matur,"Mánaðarbreyting, %",-0.0131,01 Matur og drykkjarvörur,011 Matur,Samtals
2002-12-01,011 Matur,"Áhrif á vísitölu, %",-0.0018,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-01-01,011 Matur,"Vægi, %",0.1376,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-01-01,011 Matur,"Mánaðarbreyting, %",0.0143,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-01-01,011 Matur,"Áhrif á vísitölu, %",0.002,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-02-01,011 Matur,"Vægi, %",0.1377,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-02-01,011 Matur,"Mánaðarbreyting, %",-8e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-02-01,011 Matur,"Áhrif á vísitölu, %",-1e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-03-01,011 Matur,"Vægi, %",0.136,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-03-01,011 Matur,"Mánaðarbreyting, %",-0.002,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-03-01,011 Matur,"Áhrif á vísitölu, %",-3e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-04-01,011 Matur,"Vægi, %",0.13449999999999998,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-04-01,011 Matur,"Mánaðarbreyting, %",-0.0040999999999999995,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-04-01,011 Matur,"Áhrif á vísitölu, %",-6e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-05-01,011 Matur,"Vægi, %",0.13419999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-05-01,011 Matur,"Mánaðarbreyting, %",-0.0034999999999999996,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-05-01,011 Matur,"Áhrif á vísitölu, %",-5e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-06-01,011 Matur,"Vægi, %",0.13419999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-06-01,011 Matur,"Mánaðarbreyting, %",3e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-06-01,011 Matur,"Áhrif á vísitölu, %",0,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-07-01,011 Matur,"Vægi, %",0.1328,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-07-01,011 Matur,"Mánaðarbreyting, %",-0.011000000000000001,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-07-01,011 Matur,"Áhrif á vísitölu, %",-0.0015,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-08-01,011 Matur,"Vægi, %",0.1329,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-08-01,011 Matur,"Mánaðarbreyting, %",-9e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-08-01,011 Matur,"Áhrif á vísitölu, %",-1e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-09-01,011 Matur,"Vægi, %",0.1321,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-09-01,011 Matur,"Mánaðarbreyting, %",0.0012,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-09-01,011 Matur,"Áhrif á vísitölu, %",2e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-10-01,011 Matur,"Vægi, %",0.1332,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-10-01,011 Matur,"Mánaðarbreyting, %",0.0128,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-10-01,011 Matur,"Áhrif á vísitölu, %",0.0017000000000000001,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-11-01,011 Matur,"Vægi, %",0.1333,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-11-01,011 Matur,"Mánaðarbreyting, %",0.0023,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-11-01,011 Matur,"Áhrif á vísitölu, %",3e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-12-01,011 Matur,"Vægi, %",0.1323,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-12-01,011 Matur,"Mánaðarbreyting, %",-0.0042,01 Matur og drykkjarvörur,011 Matur,Samtals
2003-12-01,011 Matur,"Áhrif á vísitölu, %",-6e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-01-01,011 Matur,"Vægi, %",0.1341,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-01-01,011 Matur,"Mánaðarbreyting, %",0.0141,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-01-01,011 Matur,"Áhrif á vísitölu, %",0.0019,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-02-01,011 Matur,"Vægi, %",0.1333,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-02-01,011 Matur,"Mánaðarbreyting, %",-0.009399999999999999,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-02-01,011 Matur,"Áhrif á vísitölu, %",-0.0013,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-03-01,011 Matur,"Vægi, %",0.1317,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-03-01,011 Matur,"Mánaðarbreyting, %",-0.006,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-03-01,011 Matur,"Áhrif á vísitölu, %",-8e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-04-01,011 Matur,"Vægi, %",0.1321,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-04-01,011 Matur,"Mánaðarbreyting, %",-0.0046,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-04-01,011 Matur,"Áhrif á vísitölu, %",-6e-4,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-05-01,011 Matur,"Vægi, %",0.132,01 Matur og drykkjarvörur,011 Matur,Samtals
2004-05-01,011 Matur,"Mánaðarbreyting, %",0.0076,01 Matur og drykkjarvörur,011 Matur,Samtals
