land,dags,erlent,innlent
Belgía,2011-01-01,0.657,0.723
Belgía,2011-04-01,0.6659999999999999,0.7340000000000001
Belgía,2011-07-01,0.66,0.731
Belgía,2011-10-01,0.667,0.7340000000000001
Belgía,2012-01-01,0.664,0.727
Belgía,2012-04-01,0.649,0.731
Belgía,2012-07-01,0.675,0.735
Belgía,2012-10-01,0.6920000000000001,0.736
Belgía,2013-01-01,0.672,0.735
Belgía,2013-04-01,0.659,0.742
Belgía,2013-07-01,0.6759999999999999,0.747
Belgía,2013-10-01,0.6729999999999999,0.738
Belgía,2014-01-01,0.68,0.738
Belgía,2014-04-01,0.685,0.7390000000000001
Belgía,2014-07-01,0.6990000000000001,0.7390000000000001
Belgía,2014-10-01,0.687,0.746
Belgía,2015-01-01,0.706,0.742
Belgía,2015-04-01,0.6559999999999999,0.738
Belgía,2015-07-01,0.6940000000000001,0.738
Belgía,2015-10-01,0.703,0.741
Belgía,2016-01-01,0.6890000000000001,0.736
Belgía,2016-04-01,0.6829999999999999,0.737
Belgía,2016-07-01,0.669,0.74
Belgía,2016-10-01,0.718,0.747
Belgía,2017-01-01,0.674,0.741
Belgía,2017-04-01,0.6890000000000001,0.74
Belgía,2017-07-01,0.7040000000000001,0.742
Belgía,2017-10-01,0.693,0.75
Belgía,2018-01-01,0.682,0.745
Belgía,2018-04-01,0.68,0.741
Belgía,2018-07-01,0.691,0.75
Belgía,2018-10-01,0.7190000000000001,0.752
Belgía,2019-01-01,0.682,0.746
Belgía,2019-04-01,0.6890000000000001,0.757
Belgía,2019-07-01,0.6779999999999999,0.757
Belgía,2019-10-01,0.68,0.752
Belgía,2020-01-01,0.6779999999999999,0.7509999999999999
Belgía,2020-04-01,0.65,0.742
Belgía,2020-07-01,0.679,0.758
Belgía,2020-10-01,0.6659999999999999,0.753
Belgía,2021-01-01,0.664,0.7490000000000001
Belgía,2021-04-01,0.6990000000000001,0.7559999999999999
Belgía,2021-07-01,0.7290000000000001,0.7659999999999999
Belgía,2021-10-01,0.706,0.7659999999999999
Belgía,2022-01-01,0.703,0.767
Belgía,2022-04-01,0.713,0.762
Belgía,2022-07-01,0.722,0.768
Belgía,2022-10-01,0.7170000000000001,0.773
Belgía,2023-01-01,0.72,0.77
Belgía,2023-04-01,0.691,0.763
Belgía,2023-07-01,0.693,0.772
Tékkland,2011-01-01,0.8009999999999999,0.755
Tékkland,2011-04-01,0.8,0.759
Tékkland,2011-07-01,0.7879999999999999,0.76
Tékkland,2011-10-01,0.785,0.758
Tékkland,2012-01-01,0.7929999999999999,0.758
Tékkland,2012-04-01,0.816,0.764
Tékkland,2012-07-01,0.815,0.7709999999999999
Tékkland,2012-10-01,0.8220000000000001,0.772
Tékkland,2013-01-01,0.8320000000000001,0.772
Tékkland,2013-04-01,0.846,0.778
Tékkland,2013-07-01,0.852,0.78
Tékkland,2013-10-01,0.852,0.78
Tékkland,2014-01-01,0.835,0.778
Tékkland,2014-04-01,0.821,0.779
Tékkland,2014-07-01,0.807,0.7829999999999999
Tékkland,2014-10-01,0.797,0.787
Tékkland,2015-01-01,0.7979999999999999,0.7859999999999999
Tékkland,2015-04-01,0.8059999999999999,0.7859999999999999
Tékkland,2015-07-01,0.805,0.7879999999999999
Tékkland,2015-10-01,0.816,0.789
Tékkland,2016-01-01,0.843,0.79
Tékkland,2016-04-01,0.8590000000000001,0.795
Tékkland,2016-07-01,0.8420000000000001,0.8
Tékkland,2016-10-01,0.853,0.805
Tékkland,2017-01-01,0.853,0.8029999999999999
Tékkland,2017-04-01,0.847,0.804
Tékkland,2017-07-01,0.858,0.81
Tékkland,2017-10-01,0.84,0.812
Tékkland,2018-01-01,0.8440000000000001,0.8109999999999999
Tékkland,2018-04-01,0.8540000000000001,0.815
Tékkland,2018-07-01,0.86,0.818
Tékkland,2018-10-01,0.863,0.821
Tékkland,2019-01-01,0.8540000000000001,0.8170000000000001
Tékkland,2019-04-01,0.866,0.816
Tékkland,2019-07-01,0.8740000000000001,0.8190000000000001
Tékkland,2019-10-01,0.868,0.82
Tékkland,2020-01-01,0.857,0.816
Tékkland,2020-04-01,0.8590000000000001,0.812
