rikisfang,ar,n
Ísland,1998,134100
Ísland,1999,135295
Ísland,2000,136507
Ísland,2001,137880
Ísland,2002,138891
Ísland,2003,139601
Ísland,2004,140671
Ísland,2005,141951
Ísland,2006,143586
Ísland,2007,145075
Ísland,2008,146576
Ísland,2009,148056
Ísland,2010,148317
Ísland,2011,146382
Ísland,2012,146963
Ísland,2013,147899
Ísland,2014,148975
Ísland,2015,149809
Ísland,2016,150530
Ísland,2017,151846
Ísland,2018,153301
Ísland,2019,154399
Ísland,2020,155326
Ísland,2021,156986
Ísland,2022,158872
Ísland,2023,159763
Ísland,2024,160623
Danmörk,1998,369
Danmörk,1999,387
Danmörk,2000,373
Danmörk,2001,392
Danmörk,2002,403
Danmörk,2003,378
Danmörk,2004,360
Danmörk,2005,380
Danmörk,2006,392
Danmörk,2007,406
Danmörk,2008,422
Danmörk,2009,421
Danmörk,2010,382
Danmörk,2011,353
Danmörk,2012,353
Danmörk,2013,361
Danmörk,2014,370
Danmörk,2015,377
Danmörk,2016,376
Danmörk,2017,368
Danmörk,2018,392
Danmörk,2019,405
Danmörk,2020,384
Danmörk,2021,378
Danmörk,2022,387
Danmörk,2023,389
Danmörk,2024,402
Finnland,1998,27
Finnland,1999,33
Finnland,2000,27
Finnland,2001,23
Finnland,2002,37
Finnland,2003,26
Finnland,2004,23
Finnland,2005,21
Finnland,2006,24
Finnland,2007,35
Finnland,2008,35
Finnland,2009,33
Finnland,2010,30
Finnland,2011,23
Finnland,2012,23
Finnland,2013,17
Finnland,2014,22
Finnland,2015,27
Finnland,2016,29
Finnland,2017,37
Finnland,2018,34
Finnland,2019,39
Finnland,2020,32
Finnland,2021,31
Finnland,2022,39
Finnland,2023,47
Finnland,2024,44
Noregur,1998,101
Noregur,1999,109
Noregur,2000,112
Noregur,2001,117
Noregur,2002,113
Noregur,2003,113
Noregur,2004,129
Noregur,2005,114
Noregur,2006,119
Noregur,2007,117
Noregur,2008,118
Noregur,2009,117
Noregur,2010,102
Noregur,2011,83
Noregur,2012,82
Noregur,2013,81
Noregur,2014,98
Noregur,2015,107
Noregur,2016,98
Noregur,2017,106
Noregur,2018,119
Noregur,2019,132
Noregur,2020,121
Noregur,2021,118
Noregur,2022,134
Noregur,2023,125
Noregur,2024,128
Svíþjóð,1998,100
Svíþjóð,1999,117
Svíþjóð,2000,130
Svíþjóð,2001,114
Svíþjóð,2002,123
Svíþjóð,2003,106
Svíþjóð,2004,126
Svíþjóð,2005,116
Svíþjóð,2006,129
Svíþjóð,2007,129
Svíþjóð,2008,171
Svíþjóð,2009,156
Svíþjóð,2010,126
Svíþjóð,2011,118
Svíþjóð,2012,105
