year,new_dwellings,population,dwellings,new_by_pop,rolling,population_adult,new_by_adult,rolling_adult,country
2007,3154,307672,113527,10.251176577654125,75.23690713512816,223489,14.112551400740081,14.112551400740081,Ísland
2008,2635,315459,116162,8.352907984872836,79.37513054214864,230648,11.424334917276543,25.536886318016624,Ísland
2009,594,319368,116756,1.8599233486135116,76.61429019531184,233644,2.5423293557720292,28.079215673788653,Ísland
2010,745,317630,117501,2.3454963322104336,72.47347050417152,232312,3.206894176796722,31.286109850585376,Ísland
2011,373,311841,117874,1.1961223828810195,67.46902188398579,227247,1.6413858048731118,32.927495655458486,Ísland
2012,351,313182,118225,1.120754066325651,62.197034085180164,229077,1.5322358857502063,34.45973154120869,Ísland
2013,691,315810,118916,2.1880244450777364,56.86263859896498,231905,2.9796683986977426,37.43939993990643,Ísland
2014,1073,319718,119989,3.3560825477452005,50.70638332794017,235698,4.552435744045346,41.99183568395178,Ísland
2015,941,323024,120930,2.9130962405270195,45.607952779924496,238909,3.938738180646187,45.93057386459797,Ísland
2016,1615,326036,122545,4.95344072433719,38.537024650244724,242529,6.658997480713647,52.58957134531161,Ísland
2017,1751,332507,124296,5.266054549227535,33.55190262181813,248757,7.0389978975466025,45.51601784211814,Ísland
2018,2274,342183,126570,6.645566845810575,31.844561482755875,257878,8.818123298614074,42.90980622345567,Ísland
2019,3058,349468,129628,8.750443531310449,38.73508166545281,264640,11.555320435308344,51.92279730299199,Ísland
2020,3124,354042,132752,8.823811864129114,45.21339719737149,268815,11.621375295277423,60.33727842147269,Ísland
2021,2610,358298,135362,7.284439209819759,51.30171402431023,272025,9.594706368899917,68.2905989854995,Ísland
2022,2624,364917,137986,7.190676235965987,57.371636193950565,277368,9.460355917048831,76.21871901679812,Ísland
2023,3696,375218,141682,9.850273707551343,65.03388545642417,286296,12.909715818593344,86.14876643669372,Ísland
2007,57810,8295189,4210160,6.96909979989606,65.82302719458112,6589770,8.772688576384306,83.89687710462572,Austurríki
2008,57810,8321541,4267970,6.947030604067203,66.8779626210023,6630099,8.71932681548194,85.0200761351369,Austurríki
2009,57810,8341483,4325780,6.930422324183842,67.92774173294357,6671868,8.664739770031423,86.10921951231272,Austurríki
2010,57810,8361069,4383590,6.914187647536457,68.9754108995738,6706532,8.61995439669862,87.19037878811953,Austurríki
2011,57818,8388534,4441408,6.892503505380082,70.02853501402645,6748738,8.567231384593683,88.26757798257658,Austurríki
2012,32684.666666666977,8426311,4474092.666666667,3.878882071486203,66.74988999577965,6797535,4.808311640420678,83.94551056263967,Austurríki
2013,32684.66666666605,8477230,4506777.333333333,3.8555833293028554,63.48447611447849,6853384,4.76912816597845,79.65122588099132,Austurríki
2014,32684.666666666977,8543932,4539462,3.825483005560786,60.23358755434708,6918417,4.724298443801086,75.38178120700502,Austurríki
2015,49856,8629519,4589318,5.777378785538336,58.98263246472642,6995393,7.126976282819278,73.60020537225174,Austurríki
2016,53610,8739806,4642928,6.134003432112795,58.124574505064615,7091254,7.560016888409299,72.33267236461877,Austurríki
2017,57217,8795073,4700145,6.505574200464283,57.66104890563284,7152756,7.999294258045431,71.5592780462799,Austurríki
2018,56415,8837707,4756560,6.383443126141204,57.09746142770685,7197741,7.8378758001989794,70.67782703099692,Austurríki
2019,64484,8877637,4821044,7.263644593713395,57.43068369723639,7232189,8.916249284967524,70.92933654593304,Austurríki
2020,54067,8916845,4875111,6.063467515696415,56.57996356539635,7270932,7.436048088470638,69.74543023770505,Austurríki
2021,62598,8951520,4937709,6.99300230575366,56.680462365769934,7298755,8.576531202924334,69.7547300560357,Austurríki
2007,45862,10584534,4948491,4.332925757525083,40.279386965627374,8267816,5.547051361568763,15.695254650635086,Belgía
2008,45596,10665140,4994087,4.275236893280351,39.64112606620269,8341624,5.466081904434916,21.16133655507,Belgía
2009,46939,10753080,5041026,4.365167933280512,39.77446009690014,8413456,5.579039101173168,26.74037565624317,Belgía
2010,44280,10839905,5085306,4.08490664816712,39.637334401142454,8489575,5.215808800793916,31.956184457037086,Belgía
