ar,fasteignir,pop
1900,83,77967
1901,32,78203
1902,79,78641
1903,113,79181
1904,107,79632
1905,120,80396
1906,190,81026
1907,116,82086
1908,111,82925
1909,54,83576
1910,99,84528
1911,38,85221
1912,80,85661
1913,72,86116
1914,71,87137
1915,76,88076
1916,50,89059
1917,32,89819
1918,53,91368
1919,123,91897
1920,290,92855
1921,177,94436
1922,218,95180
1923,218,96386
1924,191,97704
1925,266,98483
1926,407,100117
1927,327,101730
1928,447,103327
1929,352,104812
1930,619,106350
1931,349,108629
1932,323,109844
1933,308,111555
1934,450,113366
1935,415,114743
1936,457,115870
1937,394,116880
1938,406,117692
1939,348,118888
1940,367,120264
1941,237,121579
1942,769,122385
1943,489,123996
1944,424,125967
1945,704,127791
1946,1206,130356
1947,1433,132750
1948,1004,135935
1949,864,138502
1950,891,141042
1951,665,144293
1952,658,146540
1953,916,148978
1954,917,152506
1955,1171,156033
1956,1598,159480
1957,1526,162700
1958,1425,166831
1959,1356,170156
1960,1941,173855
1961,1608,177292
1962,942,180765
1963,1461,183991
1964,1343,187314
1965,1791,190652
1966,1492,193919
1967,1951,197221
1968,2066,200281
1969,1518,202695
1970,1397,204042
1971,1535,204834
1972,1853,207361
1973,2786,210912
1974,2339,213722
1975,1651,216695
1976,2168,219262
1977,1659,221046
1978,3056,222552
1979,2510,224522
1980,2064,226948
1981,1393,229327
1982,1548,232182
1983,1736,235537
1984,1804,238416
1985,1300,240606
1986,1041,242203
1987,1286,244157
1988,1624,247561
1989,1860,251919
1990,1700,253785
1991,1530,255866
1992,1895,259727
1993,1307,262386
1994,1565,265064
1995,1256,266978
1996,1301,267958
1997,1102,269874
1998,1148,272381
1999,1274,275712
2000,1810,279049
2001,1757,283361
2002,1832,286575
2003,2170,288471
2004,2764,290570
2005,2352,293577
2006,3606,299891
2007,3154,307672
2008,2635,315459
2009,594,319368
2010,745,317630
2011,373,311841
2012,351,313182
2013,691,315810
2014,1073,319718
2015,941,323024
2016,1615,326036
2017,1751,332507
2018,2274,342183
2019,3058,349468
2020,3124,354042
2021,2610,358298
2022,2624,364917
2023,3696,375218
2024,2659,383726
