year,country,dwellings,population,new_dwellings,new_by_pop,rolling
2001,Australia,7790065,19274701,60621,3.1451071536725785,73.14555167352388
2002,Australia,7917364,19495210,127299,6.529757822562568,68.0399157711188
2003,Australia,8044663,19720737,127299,6.455083296329137,62.962647822115414
2004,Australia,8171962,19932722,127299,6.386433323055426,57.92726398203866
2005,Australia,8299261,20176844,127299,6.3091631178790895,52.9411128623682
2006,Australia,8426560,20450966,127299,6.224595943291872,48.006674509089926
2007,Australia,8569106.6,20827622,142546.59999999963,6.844113072534139,51.56028775795221
2008,Australia,8711653.2,21249199,142546.59999999963,6.708328158628456,55.01075073644767
2009,Australia,8854199.8,21691653,142546.6000000015,6.571495496447481,58.35982707058698
2010,Australia,8996746.4,22031750,142546.59999999963,6.470053445595544,61.6441308299963
2011,Australia,9139293,22340024,142546.59999999963,6.380772017075704,64.87979569339942
2012,Australia,9097600,22733465,-41693,-1.8339923104550935,56.516045560381755
2013,Australia,9226900,23128129,129300,5.590594898532433,55.65155716258506
2014,Australia,9366800,23475686,139900,5.959357268622523,55.224481108152155
2015,Australia,9562100,23815995,195300,8.200371221105815,57.11568921137888
2016,Australia,9774500,24190907,212400,8.78015859430157,59.67125186238857
2017,Australia,9974800,24601860,200300,8.141660833774358,60.96879962362879
2018,Australia,10161400,24982688,186600,7.469172252401343,61.72964371740167
2019,Australia,10350200,25365745,188800,7.44310880677859,62.601257027732785
2020,Australia,10518300,25697298,168100,6.541543784097456,62.672747366234695
2021,Australia,10675900,25739256,157600,6.122943102939727,62.414918452098725
1991,Austria,3393271,7754891,34101,4.397353876411674,44.87596403824467
1992,Austria,3440300,7840709,47029,5.99805451267226,46.37264941857979
1993,Austria,3487300,7905632,47000,5.945128738600531,47.80436818536103
1994,Austria,3534300,7936118,47000,5.922290974000134,49.212965063770305
1995,Austria,3581300,7948278,47000,5.9132305135779095,50.61461961102759
1996,Austria,3628300,7959016,47000,5.905252609116504,52.011163000315925
1997,Austria,3675300,7968041,47000,5.8985640259632195,53.40387020453337
1998,Austria,3722300,7976789,47000,5.892095177646043,54.79648302699241
1999,Austria,3769300,7992323,47000,5.880643212242548,56.19786849673361
2000,Austria,3816300,8011566,47000,5.86651848090623,57.61913212113704
2001,Austria,3863262,8042293,46962,5.839379390927438,59.06115763565281
2002,Austria,3921110,8082121,57848,7.157527089733004,60.22063021271355
2003,Austria,3978920,8118245,57810,7.120997210604016,61.396498684717045
