country,year,population_adult
European Union - 27 countries (from 2020),1960,0
European Union - 27 countries (from 2020),1961,0
European Union - 27 countries (from 2020),1962,0
European Union - 27 countries (from 2020),1963,0
European Union - 27 countries (from 2020),1964,0
European Union - 27 countries (from 2020),1965,0
European Union - 27 countries (from 2020),1966,0
European Union - 27 countries (from 2020),1967,0
European Union - 27 countries (from 2020),1968,0
European Union - 27 countries (from 2020),1969,0
European Union - 27 countries (from 2020),1970,0
European Union - 27 countries (from 2020),1971,0
European Union - 27 countries (from 2020),1972,0
European Union - 27 countries (from 2020),1973,0
European Union - 27 countries (from 2020),1974,0
European Union - 27 countries (from 2020),1975,0
European Union - 27 countries (from 2020),1976,0
European Union - 27 countries (from 2020),1977,0
European Union - 27 countries (from 2020),1978,0
European Union - 27 countries (from 2020),1979,0
European Union - 27 countries (from 2020),1980,0
European Union - 27 countries (from 2020),1981,0
European Union - 27 countries (from 2020),1982,0
European Union - 27 countries (from 2020),1983,0
European Union - 27 countries (from 2020),1984,0
European Union - 27 countries (from 2020),1985,0
European Union - 27 countries (from 2020),1986,0
European Union - 27 countries (from 2020),1987,0
European Union - 27 countries (from 2020),1988,0
European Union - 27 countries (from 2020),1989,0
European Union - 27 countries (from 2020),1990,0
European Union - 27 countries (from 2020),1991,0
European Union - 27 countries (from 2020),1992,0
European Union - 27 countries (from 2020),1993,0
European Union - 27 countries (from 2020),1994,0
European Union - 27 countries (from 2020),1995,0
European Union - 27 countries (from 2020),1996,0
European Union - 27 countries (from 2020),1997,0
European Union - 27 countries (from 2020),1998,0
European Union - 27 countries (from 2020),1999,0
European Union - 27 countries (from 2020),2000,0
European Union - 27 countries (from 2020),2001,328343178
European Union - 27 countries (from 2020),2002,329881182
European Union - 27 countries (from 2020),2003,332278504
European Union - 27 countries (from 2020),2004,334750823
European Union - 27 countries (from 2020),2005,336913668
European Union - 27 countries (from 2020),2006,338641280
European Union - 27 countries (from 2020),2007,340039090
European Union - 27 countries (from 2020),2008,341788383
European Union - 27 countries (from 2020),2009,343235109
European Union - 27 countries (from 2020),2010,343893281
European Union - 27 countries (from 2020),2011,343309879
European Union - 27 countries (from 2020),2012,343914555
European Union - 27 countries (from 2020),2013,344527562
European Union - 27 countries (from 2020),2014,355837076
European Union - 27 countries (from 2020),2015,356586784
European Union - 27 countries (from 2020),2016,357592307
European Union - 27 countries (from 2020),2017,358264048
European Union - 27 countries (from 2020),2018,358959108
European Union - 27 countries (from 2020),2019,359957658
European Union - 27 countries (from 2020),2020,361112303
European Union - 27 countries (from 2020),2021,360385823
European Union - 27 countries (from 2020),2022,360469685
European Union - 27 countries (from 2020),2023,363022306
European Union - 28 countries (2013-2020),1960,0
European Union - 28 countries (2013-2020),1961,0
European Union - 28 countries (2013-2020),1962,0
European Union - 28 countries (2013-2020),1963,0
European Union - 28 countries (2013-2020),1964,0
European Union - 28 countries (2013-2020),1965,0
European Union - 28 countries (2013-2020),1966,0
European Union - 28 countries (2013-2020),1967,0
European Union - 28 countries (2013-2020),1968,0
European Union - 28 countries (2013-2020),1969,0
European Union - 28 countries (2013-2020),1970,0
European Union - 28 countries (2013-2020),1971,0
European Union - 28 countries (2013-2020),1972,0
European Union - 28 countries (2013-2020),1973,0
European Union - 28 countries (2013-2020),1974,0
European Union - 28 countries (2013-2020),1975,0
European Union - 28 countries (2013-2020),1976,0
European Union - 28 countries (2013-2020),1977,0
European Union - 28 countries (2013-2020),1978,0
European Union - 28 countries (2013-2020),1979,0
European Union - 28 countries (2013-2020),1980,0
European Union - 28 countries (2013-2020),1981,0
European Union - 28 countries (2013-2020),1982,0
European Union - 28 countries (2013-2020),1983,0
European Union - 28 countries (2013-2020),1984,0
