year,population_adult,country
1841,32479,Iceland
1842,32844,Iceland
1843,33113,Iceland
1844,32138,Iceland
1845,32474,Iceland
1846,32674,Iceland
1847,32037,Iceland
1848,32624,Iceland
1849,33425,Iceland
1850,34530,Iceland
1851,35678,Iceland
1852,36505,Iceland
1853,37243,Iceland
1854,38052,Iceland
1855,38567,Iceland
1856,38777,Iceland
1857,39168,Iceland
1858,39518,Iceland
1859,39710,Iceland
1860,39665,Iceland
1861,39511,Iceland
1862,39816,Iceland
1863,39399,Iceland
1864,39348,Iceland
1865,39462,Iceland
1866,39326,Iceland
1867,38452,Iceland
1868,38945,Iceland
1869,39374,Iceland
1870,39461,Iceland
1871,40046,Iceland
1872,40634,Iceland
1873,41085,Iceland
1874,41193,Iceland
1875,41491,Iceland
1876,42087,Iceland
1877,41972,Iceland
1878,42610,Iceland
1879,42702,Iceland
1880,42572,Iceland
1881,42993,Iceland
1882,43625,Iceland
1883,43654,Iceland
1884,43392,Iceland
1885,44127,Iceland
1886,44747,Iceland
1887,45065,Iceland
1888,43877,Iceland
1889,43273,Iceland
1890,43173,Iceland
1891,43025,Iceland
1892,43317,Iceland
1893,43739,Iceland
1894,43746,Iceland
1895,43726,Iceland
1896,44358,Iceland
1897,45000,Iceland
1898,45462,Iceland
1899,45722,Iceland
1900,45884,Iceland
1901,45624,Iceland
1902,45537,Iceland
1903,45836,Iceland
1904,46290,Iceland
1905,46707,Iceland
1906,46980,Iceland
1907,47436,Iceland
1908,47945,Iceland
1909,48423,Iceland
1910,48962,Iceland
1911,49535,Iceland
1912,50103,Iceland
1913,50533,Iceland
1914,51331,Iceland
1915,52068,Iceland
1916,52721,Iceland
1917,53278,Iceland
1918,54235,Iceland
1919,54332,Iceland
1920,55025,Iceland
1921,55840,Iceland
1922,56185,Iceland
1923,56997,Iceland
1924,57874,Iceland
1925,58439,Iceland
1926,59575,Iceland
1927,60533,Iceland
1928,61607,Iceland
1929,62668,Iceland
1930,63665,Iceland
1931,65220,Iceland
1932,66045,Iceland
1933,67179,Iceland
1934,68678,Iceland
1935,69691,Iceland
1936,70683,Iceland
1937,71553,Iceland
1938,72297,Iceland
1939,73242,Iceland
1940,74722,Iceland
1941,76029,Iceland
1942,76765,Iceland
1943,77981,Iceland
1944,79265,Iceland
1945,80402,Iceland
1946,82056,Iceland
1947,83616,Iceland
1948,85540,Iceland
1949,86925,Iceland
1950,88499,Iceland
1951,90346,Iceland
1952,91273,Iceland
1953,92105,Iceland
1954,93765,Iceland
1955,95385,Iceland
1956,96841,Iceland
1957,97896,Iceland
1958,99593,Iceland
1959,100683,Iceland
1960,101980,Iceland
1961,103207,Iceland
1962,104986,Iceland
1963,106627,Iceland
1964,108358,Iceland
1965,110376,Iceland
1966,112430,Iceland
1967,114682,Iceland
1968,116995,Iceland
1969,119194,Iceland
1970,120850,Iceland
1971,122168,Iceland
1972,124458,Iceland
1973,127368,Iceland
1974,129881,Iceland
1975,132901,Iceland
1976,135753,Iceland
1977,138294,Iceland
1978,140666,Iceland
1979,143359,Iceland
1980,146045,Iceland
1981,148460,Iceland
1982,151376,Iceland
1983,154752,Iceland
1984,157751,Iceland
1985,160422,Iceland
1986,162850,Iceland
1987,165237,Iceland
1988,168236,Iceland
1989,171689,Iceland
1990,173163,Iceland
1991,174968,Iceland
1992,178484,Iceland
1993,180764,Iceland
1994,182845,Iceland
1995,184709,Iceland
1996,185988,Iceland
1997,187707,Iceland
1998,190072,Iceland
1999,193525,Iceland
2000,196812,Iceland
2001,200769,Iceland
2002,204088,Iceland
2003,206174,Iceland
2004,208058,Iceland
2005,210712,Iceland
2006,216213,Iceland
2007,223489,Iceland
2008,230648,Iceland
2009,233644,Iceland
2010,232312,Iceland
2011,227247,Iceland
2012,229077,Iceland
2013,231905,Iceland
2014,235698,Iceland
2015,238909,Iceland
2016,242529,Iceland
2017,248757,Iceland
2018,257878,Iceland
2019,264640,Iceland
2020,268815,Iceland
2021,272025,Iceland
2022,277368,Iceland
2023,286296,Iceland
2024,294175,Iceland
