year,decile,Total,Percent,Value per person
1997,1,8396021963.106915,0.009787783067135295,579355.6419477585
1997,2,26933189462.644207,0.03139775204552533,1858486.7142315903
1997,3,39142115614.781906,0.045630482877446435,2700946.4266341366
1997,4,48228554259.97902,0.056223129097623024,3327943.296989996
1997,5,61263204886.17435,0.07141846008242769,4227380.960956
1997,6,77004011351.71817,0.08976853106407762,5313553.088029131
1997,7,96155268060.95378,0.11209438334944408,6635058.5192488115
1997,8,120576589795.79247,0.14056388955174381,8320217.347211735
1997,9,149244494540.07034,0.1739839108260161,10298405.640358152
1997,10,230862848540.93402,0.26913167803856064,15931464.256499484
1998,1,9185494730.776812,0.009857067037572519,627767.5458431392
1998,2,28808276456.049366,0.030914514741677494,1968719.7742123534
1998,3,41524030023.19974,0.04455994582822423,2837891.609021305
1998,4,51545189889.15677,0.0553137753701433,3522530.5739873415
1998,5,65628705575.52046,0.07042696875972254,4485286.056282153
1998,6,82089603299.5193,0.08809135996778975,5609895.667294424
1998,7,103254101927.2468,0.11080324298603612,7056731.952381547
1998,8,130343295819.49687,0.13987298914734356,8907489.634353643
1998,9,163213928095.95294,0.17514686773668126,11154587.759428168
1998,10,256276326252.10388,0.2750132684248092,17514784.462281566
1999,1,10031433834.222006,0.009927375817880394,676747.8806059506
1999,2,30613054833.355362,0.030295499655026963,2065240.1560652608
1999,3,43413375872.14853,0.04296304047138686,2928784.7178134336
1999,4,54386495688.83209,0.05382233397968093,3669061.302626465
1999,5,69697979347.52272,0.06897498863714395,4701698.552855014
1999,6,87246380234.72728,0.08634135654516857,5885878.717852478
1999,7,109932752008.69577,0.10879239816755554,7416363.2199079655
1999,8,139481866889.93668,0.1380349943267467,9409827.085605929
1999,9,175943287298.5796,0.17411819332223755,11869613.930957269
1999,10,289735299754.6967,0.2867298190771726,19546333.384247232
2000,1,12138159102.655436,0.011257106722500519,802469.8600195317
2000,2,33922745449.71993,0.03146045150818421,2242677.8692132705
2000,3,46208586011.81745,0.04285452018148916,3054709.1962594995
2000,4,58045097878.165634,0.053831874834261474,3837438.706741084
2000,5,74110955370.23845,0.06873158663134797,4899250.041002079
2000,6,92080961041.5008,0.08539723336859376,6087594.938615682
2000,7,115731989663.21642,0.10733154408572071,7651195.931721302
2000,8,146650831384.70996,0.13600613123286157,9694640.80020559
2000,9,185252251155.90384,0.17180565390589256,12247272.9839947
2000,10,314124748550.75494,0.2913238975291481,20767205.378206726
2001,1,11648273935.192478,0.010294182899232375,757266.541099498
2001,2,33435626070.05934,0.029548794270337148,2173543.916665107
2001,3,46661024315.94978,0.04123676359659541,3033285.07546966
2001,4,59596987763.24772,0.052668944402538054,3874210.996765762
2001,5,76543690562.47046,0.06764562327571133,4975862.352107551
2001,6,95111818917.07367,0.08405523988004042,6182917.435940562
2001,7,119687196050.62758,0.10577377332438945,7780484.694183682
2001,8,152263377973.8459,0.13456303229460576,9898158.874981856
2001,9,192816737356.23126,0.17040213609515334,12534404.040579293
2001,10,343774705320.0987,0.30381150996139683,22349155.202190787
2002,1,10825551102.954943,0.009304851556842868,696580.0851267577
2002,2,33192740346.803482,0.028530050687907316,2135817.5372758177
2002,3,47295442717.50121,0.04065170166545982,3043073.138431425
2002,4,60002477410.33418,0.051573738836591845,3860914.8324003723
2002,5,77438494738.02478,0.06656046343229545,4982530.867200153
2002,6,96624010985.8557,0.08305092927830077,6217361.237105443
2002,7,121473635294.55823,0.10440984793627807,7816333.26649239
2002,8,154747812990.77435,0.13300989621047551,9956750.28894443
2002,9,197148590190.13016,0.16945450156891143,12685708.139124261
2002,10,364682067038.6876,0.3134540188269371,23465804.455227308
2003,1,10703364524.849241,0.008592089976189531,674525.1150018427
2003,2,34228754418.79808,0.02747701781588631,2157093.169825944
2003,3,49216216261.176956,0.039508152546041675,3101601.7306010183
2003,4,61955696402.5785,0.04973472750484824,3904442.677248456
2003,5,80649438968.60052,0.06474106665606459,5082200.451736122
2003,6,101395806196.7145,0.08139514337083814,6389955.0161781255
2003,7,127617673528.80017,0.10244465943075748,8042454.848046393
2003,8,162094063630.69244,0.13012046596074586,10215153.9973968
2003,9,206676741110.41797,0.16590906078958878,13024750.511117846
2003,10,411185294239.96674,0.33007761594903945,25912862.00151038
2004,1,10963509196.342806,0.008418335996067346,681852.6771778597
2004,2,33941530660.40532,0.026062021219941826,2110922.984041627
2004,3,50781587486.807304,0.03899266724017861,3158255.3322226075
2004,4,64207218091.47721,0.049301544385727744,3992986.199718732
2004,5,83560079215.43513,0.06416164843717996,5196845.526179186
2004,6,105100307137.69017,0.08070132317397895,6536495.250804787
2004,7,132242328079.97437,0.10154233747081234,8224025.378107859
2004,8,168592629738.99222,0.12945393470156896,10485268.346227515
2004,9,215591673177.037,0.16554217361025766,13408276.209779028
2004,10,437355988758.0489,0.33582401376428656,27200447.089871813
2005,1,12492614402.33502,0.008342810556027513,750036.88774826
2005,2,36428884206.68582,0.024327916472554875,2187001.513278851
2005,3,54394551192.593605,0.036325737853169275,3265567.100473891
2005,4,68651673644.365395,0.045846921158641855,4121738.3311938876
2005,5,89548783508.91595,0.05980241703433723,5376045.116702645
2005,6,112710516349.70584,0.07527027212189306,6766555.583220619
2005,7,141640241346.28543,0.0945901044093064,8503856.94922463
2005,8,182126468189.90286,0.12162759310514921,10933929.770661155
2005,9,234684699958.95474,0.15672700117837277,14089253.764720822
2005,10,564732340037.3969,0.37713922611054784,33905640.01185139
2006,1,13321947221.598743,0.008019660543009611,756198.4004994462
2006,2,38292483919.58187,0.023051639319349223,2173609.804142696
2006,3,57783735701.84157,0.03478515096385002,3279998.6207550415
2006,4,73839314757.21722,0.04445042674551726,4191129.229039461
2006,5,96203644852.02167,0.05791349882114898,5460841.508317061
