year,decile,Total,Percent,Value per person
1997,1,4402707384.786229,0.0056592161829501055,303802.6072858287
1997,2,7691727558.76365,0.00988690486808541,530756.8009083391
1997,3,12566277500.154234,0.01615262491303805,867118.2376590004
1997,4,31408754889.259052,0.04037264310815391,2167316.787831842
1997,5,51871456351.409706,0.06667528853529317,3579316.6127111306
1997,6,71890070701.46214,0.09240710679819475,4960672.833388224
1997,7,104693536677.15465,0.13457250396903261,7224229.6906675855
1997,8,137611493861.435,0.17688506751815053,9495686.852155328
1997,9,169401886112.65344,0.21774826522057117,11689337.98734843
1997,10,186433320747.73273,0.23964037888653025,12865455.85175162
1998,1,4393210996.375987,0.005314386390549634,300246.7876145426
1998,2,7660832218.835766,0.009267167572340433,523531.21156534995
1998,3,16160740450.954523,0.019549349936664726,1104479.25443921
1998,4,34627234499.38589,0.04188792751308998,2366379.7238697386
1998,5,52899308495.95899,0.06399131873527507,3615316.3269518176
1998,6,77437165567.33232,0.09367431228621767,5291954.183512084
1998,7,112197424312.72649,0.13572315677852462,7667948.627168295
1998,8,145310228934.47964,0.1757791063743754,9930310.184820587
1998,9,177792021107.21918,0.21507173183804323,12150903.574850956
1998,10,198185661283.7192,0.23974154257491923,13544673.406487098
1999,1,4870333818.064307,0.005239882831385262,328566.00000433833
1999,2,8392569808.604709,0.009029377470636748,566185.6445122248
1999,3,19487943594.94117,0.020966641071580923,1314709.8154854733
1999,4,40185210241.04349,0.04323436566845832,2711003.8616368813
1999,5,61107159858.39979,0.06574382163069134,4122177.5403669584
1999,6,91237807135.82748,0.09816070869948526,6155151.260596875
1999,7,122937931050.6911,0.13226616045274864,8293728.061167854
1999,8,166599119023.4874,0.17924025253817935,11239230.859035783
1999,9,198011780901.59958,0.21303643033870828,13358414.686743546
1999,10,216643946708.97043,0.23308235929812587,14615391.399107497
2000,1,5294537428.934613,0.005288929344926081,350028.9190092961
2000,2,9470466356.563158,0.009460435041903387,626105.1405899219
2000,3,23720156113.369373,0.023695031231363194,1568067.436594789
2000,4,43575457011.552055,0.04352930098245394,2880831.4829797735
2000,5,65347474723.77041,0.06527825732132207,4319922.967129663
2000,6,96058933970.30269,0.09595718635236511,6350584.025538985
2000,7,133654862953.80574,0.13351329294704792,8836100.948949208
2000,8,175495848356.5911,0.17530995950908693,11601497.214027308
2000,9,212699007501.1524,0.21247371229479897,14061814.590847045
2000,10,235743599491.54196,0.23549389497473242,15585323.25079611
2001,1,5658745654.114804,0.005133274927595639,367881.00728870137
2001,2,11651227351.504646,0.01056929519277912,757409.3058249137
2001,3,27407703376.923477,0.024862625954116667,1781687.7967186815
2001,4,49599673546.55743,0.04499385132256846,3224317.3338462864
2001,5,71738482222.57233,0.06507685176998856,4663491.011023358
2001,6,108381518407.64664,0.0983172181722219,7045538.478037225
2001,7,148099060973.68832,0.13434659250745476,9627449.845523521
2001,8,189922389370.30615,0.17228620954799853,12346251.665494777
2001,9,232430910351.34708,0.2108473922373952,15109595.680384
2001,10,257475880678.53577,0.23356668836788114,16738777.836337002
2002,1,5768010885.984294,0.005022275036799044,371147.98828803125
2002,2,12002180392.744339,0.010450439876961596,772291.3836139463
2002,3,28991696390.896717,0.025243411626053234,1865377.4540533212
2002,4,50850604247.03194,0.044276220236785346,3272029.100253004
2002,5,77747395028.90028,0.06769557286700018,5002406.062855506
2002,6,112821618965.5818,0.09823511289115795,7259611.284060344
2002,7,153124682371.44675,0.13332746504701964,9852949.126275448
2002,8,196791950763.3921,0.17134907012113118,12661945.101234853
2002,9,242978160618.204,0.21156394720498412,15634654.180439098
2002,10,267409365441.9934,0.23283648509210764,17206702.6215812
2003,1,6474297359.1183195,0.005111483785756491,408009.6646784925
2003,2,14461923892.701185,0.011417747036946925,911389.204228711
2003,3,30181286754.00291,0.02382824719335442,1902022.1044872014
2003,4,57110291536.70202,0.045088804699176255,3599085.6778864395
2003,5,90667678103.55582,0.07158249626359876,5713509.238361322
2003,6,128506410480.34933,0.10145632755204893,8098462.97456197
2003,7,171132766063.6307,0.13511000660387196,10784772.250039747
2003,8,216026363901.01892,0.1705536825275451,13613962.938052617
2003,9,263745760033.27094,0.20822833756212852,16621235.192416873
2003,10,288311219796.2154,0.22762286677557264,18169348.36124372
2004,1,6668801214.320441,0.004812615984045216,414752.236726192
2004,2,14996800170.76381,0.010822610824920881,932694.8299498607
2004,3,33944198180.89105,0.024496215358790152,2111088.8849363173
2004,4,63214900470.78633,0.045619749435961414,3931274.9048996475
2004,5,100389465959.8942,0.07244719597742307,6243514.270781404
2004,6,141301227649.50726,0.10197163251634367,8787936.292649249
2004,7,188929805922.18384,0.1363433358743946,11749366.039936805
2004,8,240589007648.7957,0.17362378433320244,14962933.493923483
2004,9,288401644834.98755,0.208128315892413,17936541.130355593
2004,10,307255679628.11426,0.22173454380250565,19109128.65402788
2005,1,6668199024.034296,0.00424713073648514,400348.16426718875
2005,2,18122113193.779358,0.01154239453230923,1087957.8071549113
2005,3,39091034432.4349,0.02489798718673327,2346823.223415675
2005,4,65845900670.40635,0.04193878251096903,3953284.142075309
2005,5,111582051899.48465,0.07106919882779192,6698808.422854334
2005,6,155022803849.13577,0.09873762206417089,9306766.15531823
2005,7,214887842933.36984,0.1368670550068771,12901527.553636517
2005,8,281533927486.6603,0.17931549320622436,16901838.715654697
2005,9,333056023715.0545,0.21213111219285893,19994958.498832595
2005,10,344238080539.9736,0.21925322373558018,20667512.04010408
2006,1,7799385812.464595,0.0044869720131344906,442719.29457141366
2006,2,16675875460.929234,0.009593599840659934,946578.615026919
2006,3,41797879885.84987,0.024046241815148924,2372587.834810119
2006,4,69271240452.75275,0.03985161456301816,3931844.7299780194
2006,5,114389389083.0581,0.0658080007524392,6493125.338199358
2006,6,162277233291.6493,0.09335778760743697,9211399.97114431
2006,7,235291890424.429,0.1353629827575237,13355198.684551537
