date,fyrirtaeki,flokkur,n
2024-04-30,Félagsvísindastofnun,Samfylkingin,670.052
2024-04-30,Félagsvísindastofnun,Miðflokkurinn,353.492
2024-04-30,Félagsvísindastofnun,Viðreisn,208.40200000000002
2024-04-30,Félagsvísindastofnun,Sjálfstæðisflokkurinn,501.22
2024-04-30,Félagsvísindastofnun,Framsóknarflokkurinn,263.8
2024-04-30,Félagsvísindastofnun,Píratar,213.678
2024-04-30,Félagsvísindastofnun,Flokkur Fólksins,192.57399999999998
2024-04-30,Félagsvísindastofnun,Sósíalistaflokkurinn,116.07199999999999
2024-04-30,Félagsvísindastofnun,Vinstri Græn,113.434
2024-04-30,Félagsvísindastofnun,Annað,5.276000000000005
