date,fyrirtaeki,flokkur,n
2024-09-30,Gallup,Sjálfstæðisflokkurinn,577
2024-09-30,Gallup,Framsóknarflokkurinn,256
2024-09-30,Gallup,Viðreisn,414
2024-09-30,Gallup,Flokkur Fólksins,300
2024-09-30,Gallup,Sósíalistaflokkurinn,207
2024-09-30,Gallup,Miðflokkurinn,759
2024-09-30,Gallup,Píratar,309
2024-09-30,Gallup,Samfylkingin,1060
2024-09-30,Gallup,Vinstri Græn,179
2024-09-30,Gallup,Annað,0
2024-08-31,Gallup,Sjálfstæðisflokkurinn,674
2024-08-31,Gallup,Framsóknarflokkurinn,276
2024-08-31,Gallup,Viðreisn,398
2024-08-31,Gallup,Flokkur Fólksins,264
2024-08-31,Gallup,Sósíalistaflokkurinn,225
2024-08-31,Gallup,Miðflokkurinn,630
2024-08-31,Gallup,Píratar,307
2024-08-31,Gallup,Samfylkingin,1040
2024-08-31,Gallup,Vinstri Græn,134
2024-08-31,Gallup,Annað,0
2024-07-31,Gallup,Sjálfstæðisflokkurinn,571
2024-07-31,Gallup,Framsóknarflokkurinn,239
2024-07-31,Gallup,Viðreisn,292
2024-07-31,Gallup,Flokkur Fólksins,286
2024-07-31,Gallup,Sósíalistaflokkurinn,156
2024-07-31,Gallup,Miðflokkurinn,485.00000000000006
2024-07-31,Gallup,Píratar,259
2024-07-31,Gallup,Samfylkingin,916.0000000000001
2024-07-31,Gallup,Vinstri Græn,116.00000000000001
2024-07-31,Gallup,Annað,0
2024-06-30,Gallup,Sjálfstæðisflokkurinn,605
2024-06-30,Gallup,Framsóknarflokkurinn,216
2024-06-30,Gallup,Viðreisn,307
2024-06-30,Gallup,Flokkur Fólksins,252
2024-06-30,Gallup,Sósíalistaflokkurinn,114.00000000000001
2024-06-30,Gallup,Miðflokkurinn,474.00000000000006
2024-06-30,Gallup,Píratar,288
2024-06-30,Gallup,Samfylkingin,880
2024-06-30,Gallup,Vinstri Græn,131
2024-06-30,Gallup,Annað,0
2024-05-31,Gallup,Sjálfstæðisflokkurinn,913.9999999999999
2024-05-31,Gallup,Framsóknarflokkurinn,462
2024-05-31,Gallup,Viðreisn,390.99999999999994
2024-05-31,Gallup,Flokkur Fólksins,310
2024-05-31,Gallup,Sósíalistaflokkurinn,187.99999999999997
2024-05-31,Gallup,Miðflokkurinn,686
2024-05-31,Gallup,Píratar,447
2024-05-31,Gallup,Samfylkingin,1519
2024-05-31,Gallup,Vinstri Græn,168
2024-05-31,Gallup,Annað,0
2024-04-30,Gallup,Sjálfstæðisflokkurinn,677
2024-04-30,Gallup,Framsóknarflokkurinn,331
2024-04-30,Gallup,Viðreisn,282
2024-04-30,Gallup,Flokkur Fólksins,271
2024-04-30,Gallup,Sósíalistaflokkurinn,128
2024-04-30,Gallup,Miðflokkurinn,481
2024-04-30,Gallup,Píratar,308
2024-04-30,Gallup,Samfylkingin,1117
2024-04-30,Gallup,Vinstri Græn,165
2024-04-30,Gallup,Annað,0
2024-03-31,Gallup,Sjálfstæðisflokkurinn,697
2024-03-31,Gallup,Framsóknarflokkurinn,280
2024-03-31,Gallup,Viðreisn,272
2024-03-31,Gallup,Flokkur Fólksins,237
2024-03-31,Gallup,Sósíalistaflokkurinn,149
2024-03-31,Gallup,Miðflokkurinn,493.99999999999994
2024-03-31,Gallup,Píratar,299
2024-03-31,Gallup,Samfylkingin,1183
2024-03-31,Gallup,Vinstri Græn,214
2024-03-31,Gallup,Annað,0
2024-02-29,Gallup,Sjálfstæðisflokkurinn,728
2024-02-29,Gallup,Framsóknarflokkurinn,322
2024-02-29,Gallup,Viðreisn,274
2024-02-29,Gallup,Flokkur Fólksins,249
2024-02-29,Gallup,Sósíalistaflokkurinn,127.99999999999999
2024-02-29,Gallup,Miðflokkurinn,467.99999999999994
2024-02-29,Gallup,Píratar,293
2024-02-29,Gallup,Samfylkingin,1032
2024-02-29,Gallup,Vinstri Græn,172
2024-02-29,Gallup,Annað,0
2024-01-31,Gallup,Sjálfstæðisflokkurinn,684
2024-01-31,Gallup,Framsóknarflokkurinn,316
2024-01-31,Gallup,Viðreisn,263
2024-01-31,Gallup,Flokkur Fólksins,297
2024-01-31,Gallup,Sósíalistaflokkurinn,128
2024-01-31,Gallup,Miðflokkurinn,410
2024-01-31,Gallup,Píratar,305
2024-01-31,Gallup,Samfylkingin,1151
2024-01-31,Gallup,Vinstri Græn,207
2024-01-31,Gallup,Annað,0
2023-12-31,Gallup,Sjálfstæðisflokkurinn,641
2023-12-31,Gallup,Framsóknarflokkurinn,333
2023-12-31,Gallup,Viðreisn,312
2023-12-31,Gallup,Flokkur Fólksins,240.99999999999997
2023-12-31,Gallup,Sósíalistaflokkurinn,126.99999999999999
2023-12-31,Gallup,Miðflokkurinn,343
2023-12-31,Gallup,Píratar,322
2023-12-31,Gallup,Samfylkingin,1005
2023-12-31,Gallup,Vinstri Græn,212
2023-12-31,Gallup,Annað,0
2023-11-30,Gallup,Sjálfstæðisflokkurinn,685
2023-11-30,Gallup,Framsóknarflokkurinn,298
2023-11-30,Gallup,Viðreisn,273
2023-11-30,Gallup,Flokkur Fólksins,239
2023-11-30,Gallup,Sósíalistaflokkurinn,145
2023-11-30,Gallup,Miðflokkurinn,325
