date,fyrirtaeki,flokkur,n
2021-08-01,Gallup,Samfylkingin,497.83500000000004
2021-08-01,Gallup,Miðflokkurinn,303.03000000000003
2021-08-01,Gallup,Viðreisn,458.87399999999997
2021-08-01,Gallup,Sjálfstæðisflokkurinn,1047.618
2021-08-01,Gallup,Framsóknarflokkurinn,419.913
2021-08-01,Gallup,Píratar,471.861
2021-08-01,Gallup,Flokkur Fólksins,212.121
2021-08-01,Gallup,Sósíalistaflokkurinn,354.978
2021-08-01,Gallup,Vinstri Græn,532.467
2021-08-01,Gallup,Annað,30.303
2021-07-01,Gallup,Samfylkingin,467.4
2021-07-01,Gallup,Miðflokkurinn,281.2
2021-07-01,Gallup,Viðreisn,330.59999999999997
2021-07-01,Gallup,Sjálfstæðisflokkurinn,915.8
2021-07-01,Gallup,Framsóknarflokkurinn,452.2
2021-07-01,Gallup,Píratar,463.59999999999997
2021-07-01,Gallup,Flokkur Fólksins,152
2021-07-01,Gallup,Sósíalistaflokkurinn,205.2
2021-07-01,Gallup,Vinstri Græn,524.4000000000001
2021-07-01,Gallup,Annað,7.6000000000000005
2021-06-01,Gallup,Samfylkingin,803.88
2021-06-01,Gallup,Miðflokkurinn,609
2021-06-01,Gallup,Viðreisn,885.08
2021-06-01,Gallup,Sjálfstæðisflokkurinn,1956.9199999999998
2021-06-01,Gallup,Framsóknarflokkurinn,836.3599999999999
2021-06-01,Gallup,Píratar,1047.48
2021-06-01,Gallup,Flokkur Fólksins,341.04
2021-06-01,Gallup,Sósíalistaflokkurinn,438.48
2021-06-01,Gallup,Vinstri Græn,1193.6399999999999
2021-06-01,Gallup,Annað,8.120000000000001
2024-09-01,Gallup,Sjálfstæðisflokkurinn,577
2024-09-01,Gallup,Framsóknarflokkurinn,256
2024-09-01,Gallup,Viðreisn,414
2024-09-01,Gallup,Flokkur Fólksins,300
2024-09-01,Gallup,Sósíalistaflokkurinn,207
2024-09-01,Gallup,Miðflokkurinn,759
2024-09-01,Gallup,Píratar,309
2024-09-01,Gallup,Samfylkingin,1060
2024-09-01,Gallup,Vinstri Græn,179
2024-09-01,Gallup,Annað,0
2024-08-01,Gallup,Sjálfstæðisflokkurinn,674
2024-08-01,Gallup,Framsóknarflokkurinn,276
2024-08-01,Gallup,Viðreisn,398
2024-08-01,Gallup,Flokkur Fólksins,264
2024-08-01,Gallup,Sósíalistaflokkurinn,225
2024-08-01,Gallup,Miðflokkurinn,630
2024-08-01,Gallup,Píratar,307
2024-08-01,Gallup,Samfylkingin,1040
2024-08-01,Gallup,Vinstri Græn,134
2024-08-01,Gallup,Annað,0
2024-07-01,Gallup,Sjálfstæðisflokkurinn,571
2024-07-01,Gallup,Framsóknarflokkurinn,239
2024-07-01,Gallup,Viðreisn,292
2024-07-01,Gallup,Flokkur Fólksins,286
2024-07-01,Gallup,Sósíalistaflokkurinn,156
2024-07-01,Gallup,Miðflokkurinn,485
2024-07-01,Gallup,Píratar,259
2024-07-01,Gallup,Samfylkingin,916
2024-07-01,Gallup,Vinstri Græn,116
2024-07-01,Gallup,Annað,0
2024-06-01,Gallup,Sjálfstæðisflokkurinn,605
2024-06-01,Gallup,Framsóknarflokkurinn,216
2024-06-01,Gallup,Viðreisn,307
2024-06-01,Gallup,Flokkur Fólksins,252
2024-06-01,Gallup,Sósíalistaflokkurinn,114
2024-06-01,Gallup,Miðflokkurinn,474
2024-06-01,Gallup,Píratar,288
2024-06-01,Gallup,Samfylkingin,880
2024-06-01,Gallup,Vinstri Græn,131
2024-06-01,Gallup,Annað,0
2024-05-01,Gallup,Sjálfstæðisflokkurinn,914
2024-05-01,Gallup,Framsóknarflokkurinn,462
2024-05-01,Gallup,Viðreisn,391
2024-05-01,Gallup,Flokkur Fólksins,310
2024-05-01,Gallup,Sósíalistaflokkurinn,188
2024-05-01,Gallup,Miðflokkurinn,686
2024-05-01,Gallup,Píratar,447
2024-05-01,Gallup,Samfylkingin,1519
2024-05-01,Gallup,Vinstri Græn,168
2024-05-01,Gallup,Annað,0
2024-04-01,Gallup,Sjálfstæðisflokkurinn,677
2024-04-01,Gallup,Framsóknarflokkurinn,331
2024-04-01,Gallup,Viðreisn,282
2024-04-01,Gallup,Flokkur Fólksins,271
2024-04-01,Gallup,Sósíalistaflokkurinn,128
2024-04-01,Gallup,Miðflokkurinn,481
2024-04-01,Gallup,Píratar,308
2024-04-01,Gallup,Samfylkingin,1117
2024-04-01,Gallup,Vinstri Græn,165
2024-04-01,Gallup,Annað,0
2024-03-01,Gallup,Sjálfstæðisflokkurinn,697
2024-03-01,Gallup,Framsóknarflokkurinn,280
2024-03-01,Gallup,Viðreisn,272
2024-03-01,Gallup,Flokkur Fólksins,237
2024-03-01,Gallup,Sósíalistaflokkurinn,149
2024-03-01,Gallup,Miðflokkurinn,494
2024-03-01,Gallup,Píratar,299
2024-03-01,Gallup,Samfylkingin,1183
2024-03-01,Gallup,Vinstri Græn,214
2024-03-01,Gallup,Annað,0
2024-02-01,Gallup,Sjálfstæðisflokkurinn,728
2024-02-01,Gallup,Framsóknarflokkurinn,322
2024-02-01,Gallup,Viðreisn,274
2024-02-01,Gallup,Flokkur Fólksins,249
2024-02-01,Gallup,Sósíalistaflokkurinn,128
2024-02-01,Gallup,Miðflokkurinn,468
2024-02-01,Gallup,Píratar,293
2024-02-01,Gallup,Samfylkingin,1032
2024-02-01,Gallup,Vinstri Græn,172
2024-02-01,Gallup,Annað,0
2024-01-01,Gallup,Sjálfstæðisflokkurinn,684
2024-01-01,Gallup,Framsóknarflokkurinn,316
2024-01-01,Gallup,Viðreisn,263
2024-01-01,Gallup,Flokkur Fólksins,297
2024-01-01,Gallup,Sósíalistaflokkurinn,128
2024-01-01,Gallup,Miðflokkurinn,410
2024-01-01,Gallup,Píratar,305
2024-01-01,Gallup,Samfylkingin,1151
2024-01-01,Gallup,Vinstri Græn,207
2024-01-01,Gallup,Annað,0
2023-12-01,Gallup,Sjálfstæðisflokkurinn,641
2023-12-01,Gallup,Framsóknarflokkurinn,333
2023-12-01,Gallup,Viðreisn,312
2023-12-01,Gallup,Flokkur Fólksins,241
2023-12-01,Gallup,Sósíalistaflokkurinn,127
2023-12-01,Gallup,Miðflokkurinn,343
2023-12-01,Gallup,Píratar,322
2023-12-01,Gallup,Samfylkingin,1005
2023-12-01,Gallup,Vinstri Græn,212
2023-12-01,Gallup,Annað,0
2023-11-01,Gallup,Sjálfstæðisflokkurinn,685
2023-11-01,Gallup,Framsóknarflokkurinn,298
2023-11-01,Gallup,Viðreisn,273
2023-11-01,Gallup,Flokkur Fólksins,239
2023-11-01,Gallup,Sósíalistaflokkurinn,145
2023-11-01,Gallup,Miðflokkurinn,325
