date,fyrirtaeki,flokkur,n
2024-10-18,Maskína,Samfylkingin,194.1435
2024-10-18,Maskína,Miðflokkurinn,156.91049999999998
2024-10-18,Maskína,Viðreisn,118.79100000000001
2024-10-18,Maskína,Sjálfstæðisflokkurinn,124.99649999999998
2024-10-18,Maskína,Framsóknarflokkurinn,70.92
2024-10-18,Maskína,Píratar,46.098
2024-10-18,Maskína,Flokkur Fólksins,64.7145
2024-10-18,Maskína,Sósíalistaflokkurinn,46.098
2024-10-18,Maskína,Vinstri Græn,45.211499999999994
2024-10-18,Maskína,Annað,18.616499999999917
2024-10-13,Maskína,Samfylkingin,209.214
2024-10-13,Maskína,Miðflokkurinn,143.613
2024-10-13,Maskína,Viðreisn,125.883
2024-10-13,Maskína,Sjálfstæðisflokkurinn,118.79100000000001
2024-10-13,Maskína,Framsóknarflokkurinn,54.076499999999996
2024-10-13,Maskína,Píratar,73.57950000000001
2024-10-13,Maskína,Flokkur Fólksins,52.3035
2024-10-13,Maskína,Sósíalistaflokkurinn,47.871
2024-10-13,Maskína,Vinstri Græn,35.46
2024-10-13,Maskína,Annað,25.708499999999923
2024-09-24,Maskína,Samfylkingin,250
2024-09-24,Maskína,Miðflokkurinn,170
2024-09-24,Maskína,Viðreisn,110
2024-09-24,Maskína,Sjálfstæðisflokkurinn,130
2024-09-24,Maskína,Framsóknarflokkurinn,80
2024-09-24,Maskína,Píratar,80
2024-09-24,Maskína,Flokkur Fólksins,90
2024-09-24,Maskína,Sósíalistaflokkurinn,50
2024-09-24,Maskína,Vinstri Græn,40
2024-09-24,Maskína,Annað,0
2024-08-27,Maskína,Samfylkingin,441.15000000000003
2024-08-27,Maskína,Miðflokkurinn,264.69
2024-08-27,Maskína,Viðreisn,185.10999999999999
2024-08-27,Maskína,Sjálfstæðisflokkurinn,240.47000000000003
2024-08-27,Maskína,Framsóknarflokkurinn,155.7
2024-08-27,Maskína,Píratar,148.78
2024-08-27,Maskína,Flokkur Fólksins,122.82999999999998
2024-08-27,Maskína,Sósíalistaflokkurinn,89.96
2024-08-27,Maskína,Vinstri Græn,79.58
2024-08-27,Maskína,Annað,1.7300000000000015
2024-07-30,Maskína,Samfylkingin,572
2024-07-30,Maskína,Miðflokkurinn,299.20000000000005
2024-07-30,Maskína,Viðreisn,222.20000000000002
2024-07-30,Maskína,Sjálfstæðisflokkurinn,332.2
2024-07-30,Maskína,Framsóknarflokkurinn,209
2024-07-30,Maskína,Píratar,206.8
2024-07-30,Maskína,Flokkur Fólksins,147.4
2024-07-30,Maskína,Sósíalistaflokkurinn,123.2
2024-07-30,Maskína,Vinstri Græn,88
2024-07-30,Maskína,Annað,0
2024-06-20,Maskína,Samfylkingin,499.99500000000006
2024-06-20,Maskína,Miðflokkurinn,234.315
2024-06-20,Maskína,Viðreisn,186.345
2024-06-20,Maskína,Sjálfstæðisflokkurinn,271.215
2024-06-20,Maskína,Framsóknarflokkurinn,188.19
2024-06-20,Maskína,Píratar,171.585
2024-06-20,Maskína,Flokkur Fólksins,92.25
2024-06-20,Maskína,Sósíalistaflokkurinn,108.85499999999999
2024-06-20,Maskína,Vinstri Græn,92.25
2024-06-20,Maskína,Annað,0
2024-05-23,Maskína,Samfylkingin,914.5500000000001
2024-05-23,Maskína,Miðflokkurinn,422.1
2024-05-23,Maskína,Viðreisn,311.55
2024-05-23,Maskína,Sjálfstæðisflokkurinn,586.25
2024-05-23,Maskína,Framsóknarflokkurinn,348.4
2024-05-23,Maskína,Píratar,281.40000000000003
2024-05-23,Maskína,Flokkur Fólksins,187.6
2024-05-23,Maskína,Sósíalistaflokkurinn,130.65
2024-05-23,Maskína,Vinstri Græn,170.85
2024-05-23,Maskína,Annað,-3.350000000000375
2024-04-16,Maskína,Samfylkingin,503.68500000000006
2024-04-16,Maskína,Miðflokkurinn,214.02
2024-04-16,Maskína,Viðreisn,188.19
2024-04-16,Maskína,Sjálfstæðisflokkurinn,317.34
2024-04-16,Maskína,Framsóknarflokkurinn,197.415
2024-04-16,Maskína,Píratar,156.82500000000002
2024-04-16,Maskína,Flokkur Fólksins,97.785
2024-04-16,Maskína,Sósíalistaflokkurinn,75.64500000000001
2024-04-16,Maskína,Vinstri Græn,92.25
2024-04-16,Maskína,Annað,1.8449999999997968
2024-03-12,Maskína,Samfylkingin,448.512
2024-03-12,Maskína,Miðflokkurinn,208.488
2024-03-12,Maskína,Viðreisn,169.94400000000002
2024-03-12,Maskína,Sjálfstæðisflokkurinn,315.36
2024-03-12,Maskína,Framsóknarflokkurinn,164.688
2024-03-12,Maskína,Píratar,166.44
2024-03-12,Maskína,Flokkur Fólksins,99.864
2024-03-12,Maskína,Sósíalistaflokkurinn,61.32000000000001
2024-03-12,Maskína,Vinstri Græn,117.384
2024-03-12,Maskína,Annað,0
2024-02-27,Maskína,Samfylkingin,464.03200000000004
2024-02-27,Maskína,Miðflokkurinn,189.366
2024-02-27,Maskína,Viðreisn,156.952
2024-02-27,Maskína,Sjálfstæðisflokkurinn,313.904
2024-02-27,Maskína,Framsóknarflokkurinn,145.01000000000002
2024-02-27,Maskína,Píratar,153.54
2024-02-27,Maskína,Flokkur Fólksins,109.184
2024-02-27,Maskína,Sósíalistaflokkurinn,73.35799999999999
2024-02-27,Maskína,Vinstri Græn,100.654
2024-02-27,Maskína,Annað,0
2024-01-15,Maskína,Samfylkingin,497.295
2024-01-15,Maskína,Miðflokkurinn,228.32999999999998
2024-01-15,Maskína,Viðreisn,226.395
2024-01-15,Maskína,Sjálfstæðisflokkurinn,321.21000000000004
2024-01-15,Maskína,Framsóknarflokkurinn,199.30499999999998
2024-01-15,Maskína,Píratar,147.06
2024-01-15,Maskína,Flokkur Fólksins,125.775
2024-01-15,Maskína,Sósíalistaflokkurinn,79.33500000000001
2024-01-15,Maskína,Vinstri Græn,110.295
2024-01-15,Maskína,Annað,0
2023-12-30,Maskína,Samfylkingin,511.535
2023-12-30,Maskína,Miðflokkurinn,182.83
2023-12-30,Maskína,Viðreisn,237.29
2023-12-30,Maskína,Sjálfstæðisflokkurinn,336.48499999999996
2023-12-30,Maskína,Framsóknarflokkurinn,192.555
2023-12-30,Maskína,Píratar,157.54500000000002
2023-12-30,Maskína,Flokkur Fólksins,132.26000000000002
2023-12-30,Maskína,Sósíalistaflokkurinn,83.63499999999999
2023-12-30,Maskína,Vinstri Græn,108.92
2023-12-30,Maskína,Annað,1.9450000000000016
2023-11-26,Maskína,Samfylkingin,617.76
2023-11-26,Maskína,Miðflokkurinn,199.584
2023-11-26,Maskína,Viðreisn,244.72799999999998
2023-11-26,Maskína,Sjálfstæðisflokkurinn,425.304
2023-11-26,Maskína,Framsóknarflokkurinn,247.10399999999998
2023-11-26,Maskína,Píratar,237.60000000000002
2023-11-26,Maskína,Flokkur Fólksins,152.064
2023-11-26,Maskína,Sósíalistaflokkurinn,104.544
2023-11-26,Maskína,Vinstri Græn,144.936
2023-11-26,Maskína,Annað,2.376000000000266
2023-10-24,Maskína,Samfylkingin,538.2080000000001
2023-10-24,Maskína,Miðflokkurinn,158.752
2023-10-24,Maskína,Viðreisn,180.048
2023-10-24,Maskína,Sjálfstæðisflokkurinn,342.67199999999997
2023-10-24,Maskína,Framsóknarflokkurinn,189.728
2023-10-24,Maskína,Píratar,209.088
2023-10-24,Maskína,Flokkur Fólksins,118.096
2023-10-24,Maskína,Sósíalistaflokkurinn,83.24799999999999
2023-10-24,Maskína,Vinstri Græn,114.22399999999999
2023-10-24,Maskína,Annað,1.9359999999997868
2023-09-15,Maskína,Samfylkingin,357.948
2023-09-15,Maskína,Miðflokkurinn,102.69000000000001
2023-09-15,Maskína,Viðreisn,170.172
2023-09-15,Maskína,Sjálfstæðisflokkurinn,287.53200000000004
2023-09-15,Maskína,Framsóknarflokkurinn,129.096
2023-09-15,Maskína,Píratar,158.436
2023-09-15,Maskína,Flokkur Fólksins,95.355
2023-09-15,Maskína,Sósíalistaflokkurinn,70.416
2023-09-15,Maskína,Vinstri Græn,95.355
2023-09-15,Maskína,Annað,0
2023-08-15,Maskína,Samfylkingin,248.733
2023-08-15,Maskína,Miðflokkurinn,75.287
2023-08-15,Maskína,Viðreisn,90.535
2023-08-15,Maskína,Sjálfstæðisflokkurinn,167.72799999999998
2023-08-15,Maskína,Framsóknarflokkurinn,87.676
2023-08-15,Maskína,Píratar,124.843
2023-08-15,Maskína,Flokkur Fólksins,56.227
2023-08-15,Maskína,Sósíalistaflokkurinn,40.026
2023-08-15,Maskína,Vinstri Græn,60.992000000000004
2023-08-15,Maskína,Annað,0.952999999999895
2023-07-15,Maskína,Samfylkingin,211.761
2023-07-15,Maskína,Miðflokkurinn,49.382999999999996
2023-07-15,Maskína,Viðreisn,87.048
2023-07-15,Maskína,Sjálfstæðisflokkurinn,161.541
2023-07-15,Maskína,Framsóknarflokkurinn,80.352
2023-07-15,Maskína,Píratar,92.07000000000001
2023-07-15,Maskína,Flokkur Fólksins,50.22
2023-07-15,Maskína,Sósíalistaflokkurinn,37.665
2023-07-15,Maskína,Vinstri Græn,66.96000000000001
2023-07-15,Maskína,Annað,0
2023-06-15,Maskína,Samfylkingin,460.22400000000005
2023-06-15,Maskína,Miðflokkurinn,106.596
2023-06-15,Maskína,Viðreisn,164.124
2023-06-15,Maskína,Sjálfstæðisflokkurinn,313.02
2023-06-15,Maskína,Framsóknarflokkurinn,148.896
2023-06-15,Maskína,Píratar,191.196
2023-06-15,Maskína,Flokkur Fólksins,111.67200000000001
2023-06-15,Maskína,Sósíalistaflokkurinn,79.524
2023-06-15,Maskína,Vinstri Græn,118.44000000000001
2023-06-15,Maskína,Annað,-1.6919999999998137
2023-05-15,Maskína,Samfylkingin,471.744
2023-05-15,Maskína,Miðflokkurinn,110.592
2023-05-15,Maskína,Viðreisn,157.248
2023-05-15,Maskína,Sjálfstæðisflokkurinn,331.776
2023-05-15,Maskína,Framsóknarflokkurinn,172.8
2023-05-15,Maskína,Píratar,190.08
2023-05-15,Maskína,Flokkur Fólksins,96.768
2023-05-15,Maskína,Sósíalistaflokkurinn,89.856
2023-05-15,Maskína,Vinstri Græn,105.408
2023-05-15,Maskína,Annað,1.7279999999998097
2023-04-19,Maskína,Samfylkingin,219.221
2023-04-19,Maskína,Miðflokkurinn,51.18
2023-04-19,Maskína,Viðreisn,90.41799999999999
2023-04-19,Maskína,Sjálfstæðisflokkurinn,159.511
2023-04-19,Maskína,Framsóknarflokkurinn,87.006
2023-04-19,Maskína,Píratar,97.242
2023-04-19,Maskína,Flokkur Fólksins,37.532
2023-04-19,Maskína,Sósíalistaflokkurinn,41.797000000000004
2023-04-19,Maskína,Vinstri Græn,69.946
2023-04-19,Maskína,Annað,-0.8530000000000955
2023-03-20,Maskína,Samfylkingin,389.668
2023-03-20,Maskína,Miðflokkurinn,91.029
2023-03-20,Maskína,Viðreisn,145.327
2023-03-20,Maskína,Sjálfstæðisflokkurinn,322.594
2023-03-20,Maskína,Framsóknarflokkurinn,210.804
2023-03-20,Maskína,Píratar,162.89399999999998
2023-03-20,Maskína,Flokkur Fólksins,83.044
2023-03-20,Maskína,Sósíalistaflokkurinn,95.82
2023-03-20,Maskína,Vinstri Græn,95.82
2023-03-20,Maskína,Annað,-3.54605234065275e-13
2023-02-13,Maskína,Samfylkingin,440.37
2023-02-13,Maskína,Miðflokkurinn,109.62
2023-02-13,Maskína,Viðreisn,154.98000000000002
2023-02-13,Maskína,Sjálfstæðisflokkurinn,379.89000000000004
2023-02-13,Maskína,Framsóknarflokkurinn,232.47
2023-02-13,Maskína,Píratar,240.03
2023-02-13,Maskína,Flokkur Fólksins,111.50999999999999
2023-02-13,Maskína,Sósíalistaflokkurinn,94.5
2023-02-13,Maskína,Vinstri Græn,126.63000000000001
2023-02-13,Maskína,Annað,0
2023-01-18,Maskína,Samfylkingin,189.744
2023-01-18,Maskína,Miðflokkurinn,47.436
2023-01-18,Maskína,Viðreisn,73.164
2023-01-18,Maskína,Sjálfstæðisflokkurinn,175.272
2023-01-18,Maskína,Framsóknarflokkurinn,97.28399999999999
2023-01-18,Maskína,Píratar,83.616
2023-01-18,Maskína,Flokkur Fólksins,41.004
2023-01-18,Maskína,Sósíalistaflokkurinn,28.944
2023-01-18,Maskína,Vinstri Græn,66.732
2023-01-18,Maskína,Annað,0.8040000000000007
2022-12-15,Maskína,Samfylkingin,342.504
2022-12-15,Maskína,Miðflokkurinn,114.168
2022-12-15,Maskína,Viðreisn,127.8
2022-12-15,Maskína,Sjálfstæðisflokkurinn,340.8
2022-12-15,Maskína,Framsóknarflokkurinn,207.888
2022-12-15,Maskína,Píratar,213
2022-12-15,Maskína,Flokkur Fólksins,119.28000000000002
2022-12-15,Maskína,Sósíalistaflokkurinn,103.944
2022-12-15,Maskína,Vinstri Græn,132.912
2022-12-15,Maskína,Annað,1.7040000000000015
2022-11-22,Maskína,Samfylkingin,471.77
2022-11-22,Maskína,Miðflokkurinn,121.667
2022-11-22,Maskína,Viðreisn,223.47
2022-11-22,Maskína,Sjálfstæðisflokkurinn,541.294
2022-11-22,Maskína,Framsóknarflokkurinn,367.484
2022-11-22,Maskína,Píratar,332.72200000000004
2022-11-22,Maskína,Flokkur Fólksins,124.15
2022-11-22,Maskína,Sósíalistaflokkurinn,124.15
2022-11-22,Maskína,Vinstri Græn,176.29299999999998
2022-11-22,Maskína,Annað,0
2022-10-17,Maskína,Samfylkingin,235.72799999999998
2022-10-17,Maskína,Miðflokkurinn,81.85000000000001
2022-10-17,Maskína,Viðreisn,155.51500000000001
2022-10-17,Maskína,Sjálfstæðisflokkurinn,373.236
2022-10-17,Maskína,Framsóknarflokkurinn,245.54999999999998
2022-10-17,Maskína,Píratar,234.09099999999998
2022-10-17,Maskína,Flokkur Fólksins,75.30199999999999
2022-10-17,Maskína,Sósíalistaflokkurinn,106.405
2022-10-17,Maskína,Vinstri Græn,126.04899999999999
2022-10-17,Maskína,Annað,3.2740000000000027
2022-09-27,Maskína,Samfylkingin,285
2022-09-27,Maskína,Miðflokkurinn,99.375
2022-09-27,Maskína,Viðreisn,195
2022-09-27,Maskína,Sjálfstæðisflokkurinn,390
2022-09-27,Maskína,Framsóknarflokkurinn,292.5
2022-09-27,Maskína,Píratar,230.625
2022-09-27,Maskína,Flokkur Fólksins,93.75
2022-09-27,Maskína,Sósíalistaflokkurinn,127.50000000000001
2022-09-27,Maskína,Vinstri Græn,163.125
2022-09-27,Maskína,Annað,-1.8750000000002098
2022-08-17,Maskína,Samfylkingin,114.81
2022-08-17,Maskína,Miðflokkurinn,40.05
2022-08-17,Maskína,Viðreisn,79.21
2022-08-17,Maskína,Sjálfstæðisflokkurinn,185.12
2022-08-17,Maskína,Framsóknarflokkurinn,174.44
2022-08-17,Maskína,Píratar,123.71000000000001
2022-08-17,Maskína,Flokkur Fólksins,40.94
2022-08-17,Maskína,Sósíalistaflokkurinn,64.97
2022-08-17,Maskína,Vinstri Græn,66.75
2022-08-17,Maskína,Annað,0
2022-07-15,Maskína,Samfylkingin,97.337
2022-07-15,Maskína,Miðflokkurinn,53.58
2022-07-15,Maskína,Viðreisn,74.119
2022-07-15,Maskína,Sjálfstæðisflokkurinn,217.892
2022-07-15,Maskína,Framsóknarflokkurinn,160.73999999999998
2022-07-15,Maskína,Píratar,113.411
2022-07-15,Maskína,Flokkur Fólksins,61.617000000000004
2022-07-15,Maskína,Sósíalistaflokkurinn,45.543
2022-07-15,Maskína,Vinstri Græn,68.761
2022-07-15,Maskína,Annað,9.914291609902648e-14
2022-06-23,Maskína,Samfylkingin,222.306
2022-06-23,Maskína,Miðflokkurinn,77.973
2022-06-23,Maskína,Viðreisn,145.992
2022-06-23,Maskína,Sjálfstæðisflokkurinn,320.187
2022-06-23,Maskína,Framsóknarflokkurinn,303.597
2022-06-23,Maskína,Píratar,242.214
2022-06-23,Maskína,Flokkur Fólksins,104.517
2022-06-23,Maskína,Sósíalistaflokkurinn,101.199
2022-06-23,Maskína,Vinstri Græn,141.01500000000001
2022-06-23,Maskína,Annað,0
2022-05-15,Maskína,Samfylkingin,369.72
2022-05-15,Maskína,Miðflokkurinn,126.36
2022-05-15,Maskína,Viðreisn,203.57999999999998
2022-05-15,Maskína,Sjálfstæðisflokkurinn,437.58
2022-05-15,Maskína,Framsóknarflokkurinn,355.68
2022-05-15,Maskína,Píratar,365.04
2022-05-15,Maskína,Flokkur Fólksins,173.16
2022-05-15,Maskína,Sósíalistaflokkurinn,112.32000000000001
2022-05-15,Maskína,Vinstri Græn,196.56
2022-05-15,Maskína,Annað,0
2022-04-15,Maskína,Samfylkingin,177.58
2022-04-15,Maskína,Miðflokkurinn,57.37200000000001
2022-04-15,Maskína,Viðreisn,143.43
2022-04-15,Maskína,Sjálfstæðisflokkurinn,305.984
2022-04-15,Maskína,Framsóknarflokkurinn,211.73
