date,fyrirtaeki,flokkur,n
2013-01-09,MMR,Annað,180
2013-01-09,MMR,Flokkur Fólksins,0
2013-01-09,MMR,Framsóknarflokkurinn,162.48648648648646
2013-01-09,MMR,Miðflokkurinn,0
2013-01-09,MMR,Píratar,81.72972972972973
2013-01-09,MMR,Samfylkingin,131.35135135135133
2013-01-09,MMR,Sjálfstæðisflokkurinn,288.9729729729729
2013-01-09,MMR,Sósíalistaflokkurinn,0
2013-01-09,MMR,Vinstri Græn,127.45945945945945
2013-01-09,MMR,Viðreisn,0
2013-05-16,Gallup,Annað,623.8140419580419
2013-05-16,Gallup,Flokkur Fólksins,0
2013-05-16,Gallup,Framsóknarflokkurinn,725.5228531468531
2013-05-16,Gallup,Miðflokkurinn,0
2013-05-16,Gallup,Píratar,200.0273286713287
2013-05-16,Gallup,Samfylkingin,525.4955244755245
2013-05-16,Gallup,Sjálfstæðisflokkurinn,881.4763636363637
2013-05-16,Gallup,Sósíalistaflokkurinn,0
2013-05-16,Gallup,Vinstri Græn,437.34788811188815
2013-05-16,Gallup,Viðreisn,0
2013-05-16,MMR,Annað,107.48846539618859
2013-05-16,MMR,Annað,96.11133400200602
2013-05-16,MMR,Flokkur Fólksins,0
2013-05-16,MMR,Flokkur Fólksins,0
2013-05-16,MMR,Framsóknarflokkurinn,100.89719157472416
2013-05-16,MMR,Framsóknarflokkurinn,101.1965897693079
2013-05-16,MMR,Miðflokkurinn,0
2013-05-16,MMR,Miðflokkurinn,0
2013-05-16,MMR,Píratar,32.95636910732196
2013-05-16,MMR,Píratar,41.19057171514543
2013-05-16,MMR,Samfylkingin,59.32146439317954
2013-05-16,MMR,Samfylkingin,66.10832497492477
2013-05-16,MMR,Sjálfstæðisflokkurinn,143.9939819458375
2013-05-16,MMR,Sjálfstæðisflokkurinn,138.82748244734205
2013-05-16,MMR,Sósíalistaflokkurinn,0
2013-05-16,MMR,Sósíalistaflokkurinn,0
2013-05-16,MMR,Vinstri Græn,61.34954864593781
2013-05-16,MMR,Vinstri Græn,63.05717151454363
2013-05-16,MMR,Viðreisn,0
2013-05-16,MMR,Viðreisn,0
2013-05-30,MMR,Annað,185.56713426853707
2013-05-30,MMR,Flokkur Fólksins,0
2013-05-30,MMR,Framsóknarflokkurinn,214.97394789579158
2013-05-30,MMR,Miðflokkurinn,0
2013-05-30,MMR,Píratar,66.9258517034068
2013-05-30,MMR,Samfylkingin,118.64128256513025
2013-05-30,MMR,Sjálfstæðisflokkurinn,285.9559118236473
2013-05-30,MMR,Sósíalistaflokkurinn,0
2013-05-30,MMR,Vinstri Græn,139.93587174348698
2013-05-30,MMR,Viðreisn,0
2013-06-13,Gallup,Annað,738.6272512512513
2013-06-13,Gallup,Flokkur Fólksins,0
2013-06-13,Gallup,Framsóknarflokkurinn,835.1524034034035
2013-06-13,Gallup,Miðflokkurinn,0
2013-06-13,Gallup,Píratar,285.3787107107107
2013-06-13,Gallup,Samfylkingin,642.1020990990992
2013-06-13,Gallup,Sjálfstæðisflokkurinn,1137.3180970970973
2013-06-13,Gallup,Sósíalistaflokkurinn,0
2013-06-13,Gallup,Vinstri Græn,553.9704384384384
2013-06-13,Gallup,Viðreisn,0
2013-07-14,Gallup,Annað,551.8331616766466
2013-07-14,Gallup,Flokkur Fólksins,0
2013-07-14,Gallup,Framsóknarflokkurinn,571.0831556886227
2013-07-14,Gallup,Miðflokkurinn,0
2013-07-14,Gallup,Píratar,295.16657485029936
2013-07-14,Gallup,Samfylkingin,449.16652694610775
2013-07-14,Gallup,Sjálfstæðisflokkurinn,846.999736526946
2013-07-14,Gallup,Sósíalistaflokkurinn,0
2013-07-14,Gallup,Vinstri Græn,500.49984431137716
2013-07-14,Gallup,Viðreisn,0
2013-08-11,MMR,Annað,172.29637096774192
2013-08-11,MMR,Flokkur Fólksins,0
2013-08-11,MMR,Framsóknarflokkurinn,166.76814516129033
2013-08-11,MMR,Miðflokkurinn,0
2013-08-11,MMR,Píratar,65.41733870967741
2013-08-11,MMR,Samfylkingin,119.7782258064516
2013-08-11,MMR,Sjálfstæðisflokkurinn,257.0625
2013-08-11,MMR,Sósíalistaflokkurinn,0
2013-08-11,MMR,Vinstri Græn,132.67741935483872
2013-08-11,MMR,Viðreisn,0
2013-08-15,Gallup,Annað,410.0913573573574
