date,fyrirtaeki,flokkur,n
2024-10-24,Prósent,Samfylkingin,302.5
2024-10-24,Prósent,Miðflokkurinn,201.25
2024-10-24,Prósent,Viðreisn,187.5
2024-10-24,Prósent,Sjálfstæðisflokkurinn,166.25
2024-10-24,Prósent,Framsóknarflokkurinn,72.5
2024-10-24,Prósent,Píratar,72.5
2024-10-24,Prósent,Flokkur Fólksins,142.5
2024-10-24,Prósent,Sósíalistaflokkurinn,53.74999999999999
2024-10-24,Prósent,Vinstri Græn,30
2024-10-24,Prósent,Annað,21.24999999999974
2024-10-03,Prósent,Samfylkingin,270.816
2024-10-03,Prósent,Miðflokkurinn,164.892
2024-10-03,Prósent,Viðreisn,153.97199999999998
2024-10-03,Prósent,Sjálfstæðisflokkurinn,164.892
2024-10-03,Prósent,Framsóknarflokkurinn,67.704
2024-10-03,Prósent,Píratar,66.612
2024-10-03,Prósent,Flokkur Fólksins,117.93599999999999
2024-10-03,Prósent,Sósíalistaflokkurinn,45.864000000000004
2024-10-03,Prósent,Vinstri Græn,24.023999999999997
2024-10-03,Prósent,Annað,15.287999999999892
2024-09-15,Prósent,Samfylkingin,526.5
2024-09-15,Prósent,Miðflokkurinn,364.5
2024-09-15,Prósent,Viðreisn,222.75
2024-09-15,Prósent,Sjálfstæðisflokkurinn,243
2024-09-15,Prósent,Framsóknarflokkurinn,101.25
2024-09-15,Prósent,Píratar,182.25
2024-09-15,Prósent,Flokkur Fólksins,222.75
2024-09-15,Prósent,Sósíalistaflokkurinn,81
2024-09-15,Prósent,Vinstri Græn,60.75
2024-09-15,Prósent,Annað,20.249999999999794
2021-09-21,Prósent,Samfylkingin,367.5
2021-09-21,Prósent,Miðflokkurinn,165
2021-09-21,Prósent,Viðreisn,232.5
2021-09-21,Prósent,Sjálfstæðisflokkurinn,502.50000000000006
2021-09-21,Prósent,Framsóknarflokkurinn,305
2021-09-21,Prósent,Píratar,327.5
2021-09-21,Prósent,Flokkur Fólksins,130
2021-09-21,Prósent,Sósíalistaflokkurinn,172.50000000000003
2021-09-21,Prósent,Vinstri Græn,267.5
2021-09-21,Prósent,Annað,30.00000000000003
2021-09-16,Prósent,Samfylkingin,212.00599999999997
2021-09-16,Prósent,Miðflokkurinn,88.08699999999999
2021-09-16,Prósent,Viðreisn,173.18800000000002
2021-09-16,Prósent,Sjálfstæðisflokkurinn,318.009
2021-09-16,Prósent,Framsóknarflokkurinn,188.118
2021-09-16,Prósent,Píratar,171.69500000000002
2021-09-16,Prósent,Flokkur Fólksins,70.171
2021-09-16,Prósent,Sósíalistaflokkurinn,114.961
2021-09-16,Prósent,Vinstri Græn,149.3
2021-09-16,Prósent,Annað,7.465000000000007
2023-07-15,Prósent,Samfylkingin,248.24400000000003
2023-07-15,Prósent,Miðflokkurinn,65.232
2023-07-15,Prósent,Viðreisn,80.634
2023-07-15,Prósent,Sjálfstæðisflokkurinn,145.866
2023-07-15,Prósent,Framsóknarflokkurinn,64.326
2023-07-15,Prósent,Píratar,131.37
2023-07-15,Prósent,Flokkur Fólksins,77.01
2023-07-15,Prósent,Sósíalistaflokkurinn,26.274
2023-07-15,Prósent,Vinstri Græn,66.13799999999999
2023-07-15,Prósent,Annað,0.9060000000000008
2021-07-23,Prósent,Samfylkingin,327.6
2021-07-23,Prósent,Miðflokkurinn,145.6
2021-07-23,Prósent,Viðreisn,262.6
2021-07-23,Prósent,Sjálfstæðisflokkurinn,613.6
2021-07-23,Prósent,Framsóknarflokkurinn,275.59999999999997
2021-07-23,Prósent,Píratar,345.8
2021-07-23,Prósent,Flokkur Fólksins,130
2021-07-23,Prósent,Sósíalistaflokkurinn,158.6
2021-07-23,Prósent,Vinstri Græn,309.4
2021-07-23,Prósent,Annað,31.200000000000028
